school,year,applied,admitted,enrolled,admit_rate_pct,yield_pct
arizona,2019-2020,40854,34558,7683,84.59,22.23
arizona,2022-2023,52103,45195,9069,86.74,20.07
boston_college,2019-2020,35552,9679,2297,27.22,23.73
boston_college,2023-2024,36069,5645,2335,15.65,41.36
boston_college,2024-2025,34773,5632,2394,16.2,42.51
brandeis,2021-2022,9796,3834,943,39.14,24.6
brandeis,2023-2024,11282,3986,865,35.33,21.7
brandeis,2024-2025,10454,4234,739,40.5,17.45
brown,2025-2026,42774,2710,1719,6.34,63.43
caltech,2002-2003,2615,560,252,21.41,45.0
caltech,2017-2018,7339,568,235,7.74,41.37
caltech,2022-2023,16626,448,224,2.69,50.0
caltech,2023-2024,13107,412,266,3.14,64.56
caltech,2024-2025,13847,356,218,2.57,61.24
columbia,2021-2022,60551,2355,1560,3.89,66.24
columbia,2022-2023,58967,2201,1426,3.73,64.79
columbia,2023-2024,55939,2229,1422,3.98,63.8
columbia,2024-2025,59243,2273,1455,3.84,64.01
cornell,2008-2009,33073,6834,3139,20.66,45.93
cornell,2010-2011,36338,6673,3178,18.36,47.62
cornell,2017-2018,47039,5962,3349,12.67,56.17
cornell,2023-2024,67846,5358,3537,7.9,66.01
cornell,2024-2025,65582,5516,3525,8.41,63.91
dartmouth,2003-2004,11855,2155,1077,18.18,49.98
dartmouth,2010-2011,18778,2193,1139,11.68,51.94
dartmouth,2017-2018,20035,2093,1217,10.45,58.15
dartmouth,2024-2025,30965,1688,1166,5.45,69.08
dartmouth,2025-2026,28230,2332,1205,8.26,51.67
duke,2020-2021,39603,3085,1584,7.79,51.35
duke,2021-2022,49523,2921,1744,5.9,59.71
duke,2023-2024,46333,3145,1742,6.79,55.39
duke,2024-2025,51795,2957,1740,5.71,58.84
emory,2023-2024,33255,3543,1426,10.65,40.25
emory,2024-2025,34606,3562,1438,10.29,40.37
florida,2018-2019,38905,15077,6801,38.75,45.11
florida,2023-2024,65375,15707,6762,24.03,43.05
florida,2024-2025,73555,17802,7511,24.2,42.19
georgia_tech,2020-2021,40852,8719,3260,21.34,37.39
georgia_tech,2021-2022,45388,8308,3471,18.3,41.78
georgia_tech,2024-2025,59787,8413,3850,14.07,45.76
harvard,2007-2008,22955,2108,1659,9.18,78.7
harvard,2010-2011,30489,2205,1664,7.23,75.46
harvard,2017-2018,39506,2037,1687,5.16,82.82
harvard,2022-2023,61221,1984,1646,3.24,82.96
harvard,2023-2024,56937,1965,1645,3.45,83.72
harvard,2024-2025,53985,1970,1647,3.65,83.6
iowa,2019-2020,25928,21404,4986,82.55,23.29
iowa,2023-2024,25634,21705,5026,84.67,23.16
lehigh,2019-2020,15649,5023,1406,32.1,27.99
lehigh,2024-2025,20390,5287,1501,25.93,28.39
lehigh,2025-2026,19342,6357,1535,32.87,24.15
michigan,2020-2021,65021,,6879,,
michigan,2023-2024,87632,,7466,,
michigan,2024-2025,196620,30746,14556,15.64,47.34
minnesota,2018-2019,43444,22525,5977,51.85,26.53
minnesota,2023-2024,39763,30645,6721,77.07,21.93
minnesota,2024-2025,41357,32997,7357,79.79,22.3
mit,2003-2004,10549,1735,1019,16.45,58.73
mit,2004-2005,10466,1665,1077,15.91,64.68
