school,year,metric,value
arizona,2022-2023,student_faculty_ratio,18:1
arizona,2022-2023,total_instructional_faculty,2536
arizona,2019-2020,student_faculty_ratio,15:1
arizona,2019-2020,total_instructional_faculty,2488
boston_college,2024-2025,student_faculty_ratio,10:1
boston_college,2024-2025,total_instructional_faculty,1518
boston_college,2023-2024,student_faculty_ratio,10:1
boston_college,2023-2024,total_instructional_faculty,1474
boston_college,2019-2020,student_faculty_ratio,10.5:1
boston_college,2019-2020,total_instructional_faculty,1360
brandeis,2024-2025,student_faculty_ratio,9:1
brandeis,2024-2025,total_instructional_faculty,512
brandeis,2023-2024,student_faculty_ratio,10:1
brandeis,2023-2024,total_instructional_faculty,553
brandeis,2021-2022,student_faculty_ratio,10:1
brandeis,2021-2022,total_instructional_faculty,565
brown,2025-2026,student_faculty_ratio,8:1
brown,2025-2026,total_instructional_faculty,1085
caltech,2024-2025,student_faculty_ratio,3:1
caltech,2024-2025,total_instructional_faculty,359
caltech,2023-2024,student_faculty_ratio,3:1
caltech,2023-2024,total_instructional_faculty,356
caltech,2022-2023,student_faculty_ratio,3:1
caltech,2022-2023,total_instructional_faculty,362
caltech,2017-2018,student_faculty_ratio,3:1
caltech,2017-2018,total_instructional_faculty,374
caltech,2010-2011,student_faculty_ratio,3:1
caltech,2010-2011,total_instructional_faculty,317
caltech,2002-2003,student_faculty_ratio,3.1:1
columbia,2021-2022,student_faculty_ratio,6:1
columbia,2021-2022,total_instructional_faculty,3187
cornell,2024-2025,student_faculty_ratio,9:1
cornell,2024-2025,total_instructional_faculty,2330
cornell,2017-2018,student_faculty_ratio,8.9:1
cornell,2017-2018,total_instructional_faculty,2168
cornell,2010-2011,student_faculty_ratio,9:1
cornell,2010-2011,total_instructional_faculty,1802
cornell,2008-2009,student_faculty_ratio,9:1
cornell,2008-2009,total_instructional_faculty,1896
dartmouth,2025-2026,student_faculty_ratio,7.9:1
dartmouth,2025-2026,total_instructional_faculty,1060
dartmouth,2024-2025,student_faculty_ratio,6.3:1
dartmouth,2024-2025,total_instructional_faculty,951
dartmouth,2017-2018,student_faculty_ratio,7.3:1
dartmouth,2017-2018,total_instructional_faculty,781
dartmouth,2010-2011,student_faculty_ratio,7.8:1
