school,year,metric,value
arizona,2022-2023,avg_need_based_grant_award,16233
arizona,2022-2023,avg_need_based_loan,3117
arizona,2022-2023,avg_financial_aid_package,16233
arizona,2019-2020,avg_need_based_grant_award,13720
arizona,2019-2020,avg_need_based_loan,3087
arizona,2019-2020,avg_financial_aid_package,16301
boston_college,2024-2025,avg_need_based_grant_award,60503
boston_college,2024-2025,avg_need_based_loan,3315
boston_college,2024-2025,avg_financial_aid_package,62865
boston_college,2023-2024,avg_need_based_grant_award,55438
boston_college,2023-2024,avg_need_based_loan,3331
boston_college,2023-2024,avg_financial_aid_package,56400
boston_college,2019-2020,avg_need_based_grant_award,43917
boston_college,2019-2020,avg_need_based_loan,3400
boston_college,2019-2020,avg_financial_aid_package,46417
boston_university,2024-2025,avg_need_based_loan,667
boston_university,2022-2023,avg_need_based_loan,860
brandeis,2024-2025,avg_need_based_grant_award,53895
brandeis,2024-2025,avg_need_based_loan,3053.0
brandeis,2024-2025,avg_financial_aid_package,56841
brandeis,2023-2024,avg_need_based_grant_award,51382
brandeis,2023-2024,avg_need_based_loan,2542
brandeis,2023-2024,avg_financial_aid_package,54282
brandeis,2021-2022,avg_need_based_grant_award,48027
brandeis,2021-2022,avg_need_based_loan,2372
brandeis,2021-2022,avg_financial_aid_package,50631
brown,2025-2026,avg_need_based_grant_award,68640
brown,2025-2026,avg_need_based_loan,3226.0
brown,2025-2026,avg_financial_aid_package,72368
caltech,2024-2025,avg_need_based_grant_award,73312
caltech,2024-2025,avg_need_based_loan,2027.0
caltech,2024-2025,avg_financial_aid_package,74780
caltech,2023-2024,avg_need_based_grant_award,74013
caltech,2023-2024,avg_need_based_loan,2560
caltech,2023-2024,avg_financial_aid_package,74950
caltech,2022-2023,avg_need_based_grant_award,63160
caltech,2022-2023,avg_need_based_loan,2322.0
caltech,2022-2023,avg_financial_aid_package,64303
caltech,2017-2018,avg_need_based_grant_award,43675
caltech,2017-2018,avg_need_based_loan,3125
caltech,2017-2018,avg_financial_aid_package,46321
caltech,2010-2011,avg_financial_aid_package,33494
columbia,2021-2022,avg_need_based_grant_award,63971
columbia,2021-2022,avg_need_based_loan,3121
columbia,2021-2022,avg_financial_aid_package,66300
cornell,2024-2025,avg_need_based_grant_award,57947
cornell,2024-2025,avg_need_based_loan,3246.0
cornell,2024-2025,avg_financial_aid_package,62720
cornell,2017-2018,avg_need_based_grant_award,42053
cornell,2017-2018,avg_need_based_loan,4845
cornell,2017-2018,avg_financial_aid_package,47860
cornell,2010-2011,avg_need_based_grant_award,33653
cornell,2010-2011,avg_need_based_loan,2735
cornell,2010-2011,avg_financial_aid_package,37846
cornell,2010-2011,avg_per_borrower_cumulative_debt,20648
cornell,2008-2009,avg_need_based_grant_award,26649
cornell,2008-2009,avg_need_based_loan,2321
cornell,2008-2009,avg_financial_aid_package,30530
cornell,2008-2009,avg_per_borrower_cumulative_debt,23485
dartmouth,2025-2026,avg_need_based_grant_award,71873
dartmouth,2025-2026,avg_need_based_loan,3227
dartmouth,2025-2026,avg_financial_aid_package,73208
dartmouth,2024-2025,avg_need_based_grant_award,69466
dartmouth,2024-2025,avg_need_based_loan,3434
dartmouth,2024-2025,avg_financial_aid_package,71318
dartmouth,2017-2018,avg_need_based_grant_award,51461
dartmouth,2017-2018,avg_need_based_loan,4244
dartmouth,2017-2018,avg_financial_aid_package,52069
dartmouth,2010-2011,avg_need_based_grant_award,37022
dartmouth,2010-2011,avg_need_based_loan,3116
dartmouth,2010-2011,avg_financial_aid_package,39476
dartmouth,2010-2011,avg_per_borrower_cumulative_debt,18792
