school,year,metric,value
arizona,2019-2020,freshman_retention_rate_pct,83.2
boston_college,2024-2025,rate_6yr_pct,88.0
boston_college,2024-2025,freshman_retention_rate_pct,96.0
boston_college,2023-2024,rate_6yr_pct,89.0
boston_college,2023-2024,freshman_retention_rate_pct,95.0
boston_college,2019-2020,rate_6yr_pct,96.0
boston_college,2019-2020,freshman_retention_rate_pct,95.0
boston_university,2024-2025,rate_6yr_pct,89.0
boston_university,2024-2025,freshman_retention_rate_pct,95.0
boston_university,2022-2023,rate_6yr_pct,86.0
boston_university,2022-2023,freshman_retention_rate_pct,94.0
brandeis,2023-2024,rate_6yr_pct,81.0
brandeis,2021-2022,rate_6yr_pct,88.0
caltech,2023-2024,rate_6yr_pct,92.6
caltech,2017-2018,rate_6yr_pct,84.0
caltech,2017-2018,freshman_retention_rate_pct,98.3
caltech,2010-2011,freshman_retention_rate_pct,98.0
caltech,2002-2003,rate_6yr_pct,85.0
caltech,2002-2003,freshman_retention_rate_pct,95.0
columbia,2021-2022,rate_6yr_pct,93.0
cornell,2017-2018,rate_6yr_pct,91.88
cornell,2017-2018,freshman_retention_rate_pct,97.1
cornell,2010-2011,rate_6yr_pct,93.0
cornell,2010-2011,freshman_retention_rate_pct,96.0
cornell,2008-2009,rate_6yr_pct,93.0
cornell,2008-2009,freshman_retention_rate_pct,97.0
dartmouth,2025-2026,rate_6yr_pct,92.0
dartmouth,2025-2026,freshman_retention_rate_pct,98.0
dartmouth,2024-2025,rate_6yr_pct,93.0
dartmouth,2024-2025,freshman_retention_rate_pct,98.4
dartmouth,2017-2018,rate_6yr_pct,92.0
dartmouth,2017-2018,freshman_retention_rate_pct,97.0
dartmouth,2010-2011,rate_6yr_pct,95.0
dartmouth,2010-2011,freshman_retention_rate_pct,97.0
duke,2024-2025,rate_6yr_pct,95.6
duke,2024-2025,freshman_retention_rate_pct,98.0
duke,2021-2022,rate_6yr_pct,95.0
duke,2021-2022,freshman_retention_rate_pct,98.0
duke,2020-2021,rate_6yr_pct,94.0
duke,2020-2021,freshman_retention_rate_pct,95.0
emory,2024-2025,rate_6yr_pct,91.61
emory,2024-2025,freshman_retention_rate_pct,96.0
emory,2023-2024,rate_6yr_pct,90.0
florida,2024-2025,rate_6yr_pct,87.0
florida,2024-2025,freshman_retention_rate_pct,98.0
florida,2023-2024,freshman_retention_rate_pct,97.0
florida,2018-2019,rate_6yr_pct,85.0
florida,2018-2019,freshman_retention_rate_pct,97.0
georgia_tech,2024-2025,rate_6yr_pct,86.0
georgia_tech,2024-2025,freshman_retention_rate_pct,98.0
georgia_tech,2021-2022,rate_6yr_pct,87.0
georgia_tech,2021-2022,freshman_retention_rate_pct,97.3
georgia_tech,2020-2021,rate_6yr_pct,86.11
georgia_tech,2020-2021,freshman_retention_rate_pct,96.72
harvard,2024-2025,rate_6yr_pct,95.0
harvard,2023-2024,rate_6yr_pct,96.0
harvard,2022-2023,rate_6yr_pct,96.83
harvard,2022-2023,freshman_retention_rate_pct,98.0
harvard,2017-2018,rate_6yr_pct,95.24
harvard,2017-2018,freshman_retention_rate_pct,97.0
harvard,2010-2011,rate_6yr_pct,97.0
harvard,2010-2011,freshman_retention_rate_pct,98.0
harvard,2007-2008,rate_6yr_pct,97.0
harvard,2007-2008,freshman_retention_rate_pct,96.0
iowa,2023-2024,rate_6yr_pct,60.36
iowa,2023-2024,freshman_retention_rate_pct,89.3
iowa,2019-2020,rate_6yr_pct,59.55
iowa,2019-2020,freshman_retention_rate_pct,85.9
lehigh,2025-2026,rate_6yr_pct,83.33
lehigh,2025-2026,freshman_retention_rate_pct,94.33
lehigh,2019-2020,rate_6yr_pct,83.2
lehigh,2019-2020,freshman_retention_rate_pct,93.4
michigan,2020-2021,rate_6yr_pct,88.5
michigan,2020-2021,freshman_retention_rate_pct,96.2
minnesota,2023-2024,rate_6yr_pct,76.5
minnesota,2018-2019,rate_6yr_pct,71.0
minnesota,2018-2019,freshman_retention_rate_pct,93.0
mit,2024-2025,rate_6yr_pct,93.0
mit,2023-2024,rate_6yr_pct,93.0
mit,2022-2023,rate_6yr_pct,91.0
mit,2021-2022,rate_6yr_pct,93.0
mit,2020-2021,rate_6yr_pct,94.0
mit,2019-2020,rate_6yr_pct,92.0
mit,2019-2020,freshman_retention_rate_pct,99.4
mit,2018-2019,rate_6yr_pct,87.0
mit,2018-2019,freshman_retention_rate_pct,98.5
mit,2017-2018,rate_6yr_pct,86.0
mit,2017-2018,freshman_retention_rate_pct,99.0
mit,2016-2017,rate_6yr_pct,92.0
mit,2016-2017,freshman_retention_rate_pct,98.0
mit,2015-2016,rate_6yr_pct,92.0
mit,2015-2016,freshman_retention_rate_pct,98.0
mit,2014-2015,rate_6yr_pct,91.0
mit,2014-2015,freshman_retention_rate_pct,99.0
mit,2009-2010,rate_6yr_pct,91.0
mit,2009-2010,freshman_retention_rate_pct,97.0
mit,2004-2005,rate_6yr_pct,92.0
mit,2004-2005,freshman_retention_rate_pct,98.0
mit,2003-2004,rate_6yr_pct,92.0
mit,2003-2004,freshman_retention_rate_pct,98.0
northeastern,2024-2025,rate_6yr_pct,90.0
northeastern,2024-2025,freshman_retention_rate_pct,96.9
northeastern,2023-2024,rate_6yr_pct,89.2
northeastern,2020-2021,rate_6yr_pct,90.2
northeastern,2020-2021,freshman_retention_rate_pct,96.79
northwestern,2024-2025,rate_6yr_pct,94.0
northwestern,2023-2024,rate_6yr_pct,96.0
northwestern,2018-2019,rate_6yr_pct,93.71
northwestern,2018-2019,freshman_retention_rate_pct,97.4
nyu,2024-2025,rate_6yr_pct,86.0
nyu,2024-2025,freshman_retention_rate_pct,96.0
nyu,2019-2020,rate_6yr_pct,80.35
nyu,2019-2020,freshman_retention_rate_pct,94.0
ohio_state,2020-2021,rate_6yr_pct,80.3
ohio_state,2020-2021,freshman_retention_rate_pct,93.8
penn,2024-2025,rate_6yr_pct,92.7
penn,2024-2025,freshman_retention_rate_pct,98.8
penn,2023-2024,rate_6yr_pct,95.0
penn,2023-2024,freshman_retention_rate_pct,98.1
penn,2022-2023,rate_6yr_pct,92.7
penn,2022-2023,freshman_retention_rate_pct,98.4
penn,2021-2022,rate_6yr_pct,95.4
penn,2021-2022,freshman_retention_rate_pct,97.7
penn,2020-2021,rate_6yr_pct,92.1
penn,2020-2021,freshman_retention_rate_pct,95.0
penn,2019-2020,rate_6yr_pct,92.4
penn,2019-2020,freshman_retention_rate_pct,98.1
penn,2018-2019,rate_6yr_pct,93.7
penn,2018-2019,freshman_retention_rate_pct,98.3
penn,2017-2018,rate_6yr_pct,91.0
penn,2017-2018,freshman_retention_rate_pct,97.7
penn,2016-2017,rate_6yr_pct,95.0
penn,2016-2017,freshman_retention_rate_pct,98.0
penn,2015-2016,rate_6yr_pct,95.0
penn,2015-2016,freshman_retention_rate_pct,98.0
