school,year,tuition,required_fees,room_and_board
arizona,2019-2020,11299,,13050
arizona,2022-2023,11525,1750,13650
boston_college,2019-2020,59050,,15220
boston_college,2023-2024,69400,1302,18916
boston_college,2024-2025,72180,1328,19290
boston_university,2022-2023,,,
boston_university,2024-2025,,,
brandeis,2021-2022,59408,983,16650
brandeis,2023-2024,67082,998,18584
brandeis,2024-2025,69934,1023,19384
brown,2025-2026,74568,3084,19464
caltech,2002-2003,,216,7560
caltech,2010-2011,36387,,
caltech,2022-2023,60816,2939,19503
caltech,2023-2024,63402,2496,20283
caltech,2024-2025,65622,3086,
columbia,2021-2022,62570,3569,16286
cornell,2008-2009,37750,,2009
cornell,2010-2011,41325,,13160
cornell,2017-2018,54584,,14766
cornell,2024-2025,71266,1004,20574
dartmouth,2003-2004,,296,9000
dartmouth,2010-2011,41736,,12479
dartmouth,2017-2018,53496,,15756
dartmouth,2024-2025,69207,2318,20920
dartmouth,2025-2026,69207,2318,20920
duke,2020-2021,58085,2159,16026
duke,2021-2022,60435,2253,16650
duke,2024-2025,70265,2907,19247
emory,2024-2025,67080,976,21244
florida,2018-2019,,1904,10220
florida,2023-2024,,1904,11500
florida,2024-2025,,1904,12615
georgia_tech,2020-2021,10258,2594,12246
georgia_tech,2021-2022,10258,2600,12580
georgia_tech,2024-2025,10512,1546,13608
harvard,2007-2008,32557,,2035
harvard,2010-2011,36305,,2350
harvard,2017-2018,46340,,2018
harvard,2022-2023,54269,4807,20374
harvard,2023-2024,,5126,21190
harvard,2024-2025,59320,5476,22130
iowa,2019-2020,,,9424
iowa,2023-2024,,1997,12920
lehigh,2019-2020,54790,,14740
lehigh,2024-2025,66810,1110,18180
michigan,2020-2021,,1000,
mit,2003-2004,,200,9100
mit,2004-2005,,200,9500
mit,2009-2010,38940,272,11234
mit,2014-2015,46400,304,13730
mit,2015-2016,48140,312,
mit,2016-2017,49580,312,14720
mit,2017-2018,51520,312,15510
mit,2018-2019,53450,340,16390
mit,2019-2020,53450,53450,12000
mit,2020-2021,55510,368,18100
mit,2021-2022,57590,396,18790
mit,2022-2023,59750,406,19390
mit,2023-2024,61990,406,20280
mit,2024-2025,64310,420,21264
northeastern,2020-2021,56500,1092,17810
northeastern,2023-2024,,1172,21620
northeastern,2024-2025,67990,1299,22048
northwestern,2018-2019,,,17019
northwestern,2023-2024,67158,1164,21126
northwestern,2024-2025,69375,1214,21975
nyu,2019-2020,52206,,19245
ohio_state,2020-2021,11936,13352,13352
penn,2009-2010,,4306,11430
penn,2011-2012,,4650,12368
penn,2012-2013,,4650,12368
penn,2013-2014,,,8330
penn,2014-2015,43838,,9060
penn,2015-2016,45556,,9450
penn,2016-2017,,,15066
penn,2017-2018,,,15616
penn,2018-2019,,,16190
penn,2019-2020,,,
penn,2020-2021,,,
penn,2021-2022,,,
penn,2022-2023,,,18360
penn,2023-2024,,,18436
penn,2024-2025,,,18966
penn_state,2019-2020,17920,530,10592
penn_state,2022-2023,19286,549,12984
pittsburgh,2019-2020,18628,,11814
princeton,2017-2018,47140,,15610
princeton,2023-2024,62400,20250,20250
princeton,2024-2025,65210,300,21170
rice,2020-2021,,825,2021
rice,2024-2025,,,19550
rutgers,2012-2013,,,17194
rutgers,2022-2023,13674,,5601
rutgers,2023-2024,14222,,5712
stanford,2008-2009,36030,11182,11182
stanford,2009-2010,37380,501,11463
stanford,2010-2011,38700,438,11876
stanford,2011-2012,40050,957,12291
stanford,2012-2013,41250,975,12721
stanford,2013-2014,42690,555,13166
stanford,2014-2015,44184,573,13631
stanford,2015-2016,45729,591,14107
stanford,2016-2017,47331,609,14601
stanford,2017-2018,48987,,15112
stanford,2018-2019,52857,,16433
stanford,2019-2020,,,17255
stanford,2024-2025,,,22167
stanford,2025-2026,,,22944
swarthmore,2023-2024,65058,436,20308
swarthmore,2024-2025,65494,,
tufts,2018-2019,57324,,15086
tufts,2024-2025,71982,1634,19566
uc_davis,2020-2021,11442,3212,16480
uc_davis,2023-2024,11928,1290,3618
uc_davis,2024-2025,13602,3749,20771
uc_riverside,2019-2020,11442,,16261
uc_san_diego,2019-2020,11994,,6835
uc_san_diego,2023-2024,13146,3669,18522
uc_san_diego,2024-2025,14934,5472,19629
uchicago,2021-2022,61179,3081,18396
uchicago,2022-2023,63801,3138,19221
uchicago,2023-2024,67446,3216,20109
uchicago,2024-2025,71325,2637,20835
ucla,2020-2021,,,16667
unc,2021-2022,,1978,
unc,2023-2024,,1990,13804
unc,2024-2025,,2076,15038
usc,2022-2023,63468,1258,17434
usc,2024-2025,66640,2047,19200
wake_forest,2018-2019,54430,,15018
wake_forest,2023-2024,66470,1172,21312
wake_forest,2024-2025,69130,1202,22104
washu,2019-2020,56300,,17402
washu,2023-2024,64500,1290,21854
washu,2024-2025,,,23338
yale,2010-2011,,,12200
yale,2014-2015,47600,,14600
yale,2017-2018,51400,,15500
yale,2024-2025,69900,20650,20650
yale,2025-2026,72500,21600,21600
