year,section,field,label,raw_preview
2023-2024,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date October 1 , 202 . Note: Report students formerly designated as “first professional” in the graduate cells. For information on reporting s"
2023-2024,B,B2,. Enrollment by Racial/Ethnic Category,"B2. Enrollment by Racial/Ethnic Category Provide numbers of undergraduate students for each of the following categories as of the institution s official or as of October 1 , 202 . Include international students only in the category ""Nonresident ."" Complete the “Total Undergraduates” column only if y"
2023-2024,B,B3,. Persistence,"B3. Persistence Number of degrees awarded by your institution from July 1, 202 , to June 30, 202 . AWARD TYPE # AWARDED Certificate/diploma: Associate degrees: Bachelor’s degrees: Post-bachelor’s certificates: Master’s degrees: Post-master’s certificates: Doctoral degrees – research/scholarship: Doc"
2023-2024,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 202 -202 Survey. https:/"
2023-2024,B,B12,,"B12 degree/certificate-seeking students: Of the initial cohort, how many did not persist and did not graduate for the following reasons: Death Permanently Disability"
2023-2024,B,B13,"Service in the armed forces,","B13 Service in the armed forces, Foreign aid service of the federal government Official church missions Report total allowable exclusions Final cohort, after adjusting for allowable"
2023-2024,B,B14,,B14 exclusions: Completers of programs of less than two years
2023-2024,B,B15,,B15 duration (total): Completers of programs of less than two years
2023-2024,B,B16,,B16 within 150 percent of normal time: Completers of programs of at least two but
2023-2024,B,B17,,B17 less than four years (total): Completers of programs of at least two but
2023-2024,B,B18,less than four-years within 150 percent of,B18 less than four-years within 150 percent of normal time: Total transfers-out (within three years) to other
2023-2024,B,B19,,B19 institutions:
2023-2024,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2023-2024,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions: Common Data Set 202 -202
2023-2024,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 202 (or the preceding summer term). The initial cohort may be adjusted for students who departed for the following reasons: * Death * Permanent"
2023-2024,C,C1,-C2: Applications,"C1-C2: Applications C1. First-time, first-year students: Provide the number of degree-seeking, first-time, first-year Include early decision, early action, and students who began studies during summer in this cohort. Applicants should include only those students who fulfilled the requirements for co"
