year,expense,amount
2022-2023,tuition_first_year,11525
2022-2023,tuition_in_state,11525
2022-2023,tuition_out_of_state,37827
2022-2023,tuition_nonresident,1485
2022-2023,required_fees,1750
2022-2023,room_only,5000
2022-2023,board_only,500
2022-2023,room_and_board,13650
2022-2023,books_supplies,7450
2022-2023,transportation,1900
2022-2023,other_expenses,190
2019-2020,tuition_first_year,11299
2019-2020,tuition_in_state,11299
2019-2020,tuition_out_of_state,35326
2019-2020,room_and_board,1700
