year,metric,sex,value
2024-2025,applied,male,14099
2024-2025,applied,female,20674
2024-2025,admitted,male,2800
2024-2025,admitted,female,2832
2024-2025,enrolled,male,1193
2024-2025,enrolled,female,1201
2023-2024,applied,male,14358
2023-2024,applied,female,21711
2023-2024,admitted,male,2510
2023-2024,admitted,female,3135
2023-2024,enrolled,male,1056
2023-2024,enrolled,female,1279
2019-2020,applied,male,15183
2019-2020,applied,female,20369
2019-2020,admitted,male,5294
2019-2020,admitted,female,4385
2019-2020,enrolled,male,2297
