year,section,field,label,raw_preview
2024-2025,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) Name: Shadman Islem Title: Assistant Director, Institutional Research Office: Institutional Research & Planning Mailing Address: 140 Commonwealth Ave City/State/Zip/Country: Chestnut Hitll, MA 02467 Phone: 617 552 2111 Fax: E-mail Address: shadman.isle"
2024-2025,A,A0A,We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic,"A0A We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This information will not be published but wil"
2024-2025,A,A1,Address Information,"A1 Address Information Name of College/University: Boston College Mailing Address: 140 Commonwealth Ave City/State/Zip/Country: Chestnut Hill, MA 02467 Street Address (if different): City/State/Zip/Country: Main Phone Number: 617 552 8000 WWW Home Page Address: www.bc.edu Admissions Phone Number: 61"
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public x Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: x Coeducational college Men's college Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: x Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: x Certificate Diploma CDS-A Page 1 x Associate Transfer Associate Terminal Associate x Bachelor's x Postbachelor's certificate x Master's x Post-master's certificate x Doctoral degree research/scholarship x Doctoral degree – professional practice x Doctoral de
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: CDS-A Page 2"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2024-2025,B,B3,"Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024.","B3 Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Certificate/diploma Associate degrees Bachelor's degrees 2336 Postbachelor's certificates Master's degrees 1504 Post-Master's certificates Doctoral degrees – research/scholarship 161 Doctoral degrees – professional"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students:"
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                                                        0                 0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2024-2025,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2024-2025,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2024-2025,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2024-2025,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2024-2025,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2024-2025,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2024-2025,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1 First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024. • Include early decision, early action, and students who began studies during summer in this cohor"
2024-2025,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes No Do you have a policy of placing students on a waiting list? Yes If yes, please answer the questions below for Fall 2024 admissions: WAITING LIS"
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: x High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High s
2024-2025,C,C4,Does your institution require or recommend a general college-preparatory program for degree-seeking,C4 Does your institution require or recommend a general college-preparatory program for degree-seeking students? x Require Recommend Neither require nor recommend CDS-C Page 7
2024-2025,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy a"
2024-2025,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first- year, degree-seeking general (not including programs with specific criteria) admissions decisions. Academic Very Important Important Considered Not Considered Rigor of secondary school record "
2024-2025,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Yes No Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree-seeking applicants? x If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for "
2024-2025,C,C8A,,"C8A applying for Fall 2026. Not required for Not considered Required to be admission, but for admission, Admission considered for Required for some Recommended considered if even if admission submitted submitted SAT or ACT x ACT Only SAT Only"
2024-2025,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2024-2025,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2024-2025,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? x Yes No"
2024-2025,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission                            15-Feb,C8E Latest date by which SAT or ACT scores must be received for fall-term admission 15-Feb CDS-C Page 8
2024-2025,C,C8F,"If necessary, use this space to clarify your test policies","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT):"
2024-2025,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): SAT ACT x AP CLEP Institutional Exam State Exam (specify):"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2024-2025,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent Percent in top tenth of high school graduating"
2024-2025,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). * Report information only for those students from whom you collected high school GPA. * If you are able to report GPA ranges"
2024-2025,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year","C12 Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: 0.00 Percent of total first-time, first-year students who submitted high school 0.00 GPA:"
2024-2025,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13 Application Fee If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes No Does your institution have an application fee? x Amount of application fee: Yes No Can it be waived for applicants with financial need? x If y
2024-2025,C,C14,Application closing date,C14 Application closing date Yes No Does your institution have an application closing date? x Date CDS-C Page 10 Application closing date (fall) 1/2 Priority Date Yes No
2024-2025,C,C15,"Are first-time, first-year students accepted for terms other than the fall?","C15 Are first-time, first-year students accepted for terms other than the fall? x"
2024-2025,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): x By (date): 1-Apr Other:
2024-2025,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) x Must reply by (date): 5/1/25 No set date Must reply by May 1st or within weeks if notified thereafter Other: Deadline for housing deposit (MMDD): N/A Amount of housing deposit: Refundable if student does not enroll? Yes, in full Yes, in p"
2024-2025,C,C18,Deferred admission,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after x admission? If yes, maximum period of postponement: 1 year (2 years for"
2024-2025,C,C19,Early admission of high school students,"C19 Early admission of high school students Yes No Does your institution allow high school students to enroll as full-time, first- time, first-year students one year or more before high school graduation? x"
2024-2025,C,C20,Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20 Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2024-2025,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21 Early Decision Yes No Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit x t
2024-2025,C,C22,Early action,"C22 Early action Yes No Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date x but do not have to commit to attending your college? If “yes,” please complete the following: Early action closing date Early a"
2024-2025,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants Yes No D1 Does your institution enroll transfer students? (If no, please x skip to Section E) If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other colleges/universities?"
2024-2025,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Transfer Admission Applicants Admitted Enrolled Men 739 192 87 Women"
2024-2025,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3 Indicate terms for which transfers may enroll: x Fall Winter x Spring Summer Yes No
2024-2025,D,D4,Must a transfer applicant have a minimum number of credits,"D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year x student? If yes, what is the minimum number of credits and the unit of measure? 9"
2024-2025,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: Recommended Recommended Requirements Required of All Required of Some Not Required of All of Some High school transcript x College transcript(s) x Essay or personal statement x Interview x Standardized test scores x Statemen
2024-2025,D,D6,If a minimum high school grade point average is required of,"D6 If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale):"
2024-2025,D,D7,If a minimum college grade point average is required of,"D7 If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale):"
2024-2025,D,D8,List any other application requirements specific to transfer applicants:,D8 List any other application requirements specific to transfer applicants:
2024-2025,D,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications are","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the “Rolling admission” column. D9 Term Priority Date Closing Date Notification Date Reply Date Rolling Admission"
2024-2025,D,D10,"Does an open admission policy, if reported, apply to transfer","D10 Does an open admission policy, if reported, apply to transfer students?"
2024-2025,D,D11,"Describe additional requirements for transfer admission, if applicable:","D11 Describe additional requirements for transfer admission, if applicable:"
