year,category,male,female,unknown
2024-2025,undergrad_FT_total,4557,5097,0
2024-2025,undergrad_PT_total,0,0,0
2024-2025,undergrad_total,4557,5097,0
2024-2025,graduate_FT_total,1530,2179,0
2024-2025,graduate_PT_total,623,740,0
2024-2025,graduate_total,2153,2919,0
2024-2025,total_undergraduates,9654,,
2024-2025,total_graduate,5072,,
2024-2025,grand_total,14726,,
2023-2024,undergrad_FT_total,4445,5130,0
2023-2024,undergrad_PT_total,0,0,0
2023-2024,undergrad_total,4445,5130,
2023-2024,graduate_FT_total,1504,2166,0
2023-2024,graduate_PT_total,637,812,0
2023-2024,graduate_total,2141,2978,
2023-2024,total_undergraduates,9575,,
2023-2024,total_graduate,5119,,
2023-2024,grand_total,14694,,
2019-2020,total_undergraduates,9370,,
2019-2020,total_graduate,4801,,
2019-2020,grand_total,14171,,
