year,expense,amount
2024-2025,tuition_first_year,72180
2024-2025,tuition_out_of_state,1328
2024-2025,required_fees,1328
2024-2025,food_and_housing,19290
2024-2025,housing_only,10940
2024-2025,food_only,8350
2024-2025,books_supplies,1250
2024-2025,transportation,2000
2024-2025,other_expenses,2000
2023-2024,tuition_first_year,69400
2023-2024,tuition_out_of_state,1302
2023-2024,required_fees,1302
2023-2024,food_and_housing,18916
2023-2024,housing_only,10730
2023-2024,food_only,8186
2023-2024,books_supplies,1250
2023-2024,transportation,300
2023-2024,other_expenses,2000
2019-2020,tuition_first_year,59050
2019-2020,tuition_out_of_state,59050
2019-2020,room_and_board,15220
