year,section,field,label,raw_preview
2024-2025,A,A1,. General information,A1. General information Name of College/University: Boston University Mailing Address: One Silber Way Boston MA 02215 Street Address (if different) Main Phone: (617) 353-2000 www Home Page Address: http://www.bu.edu Admissions Phone Number: (617) 353-2300 Admissions Toll-Free Number: N/A Admissions 
2024-2025,A,A2,. Institutional control,A2. Institutional control Public Private (nonprofit) X Proprietary
2024-2025,A,A3,. Institution classification,A3. Institution classification Coeducational college X Men's college Women's college
2024-2025,A,A4,. Academic year calendar,"A4. Academic year calendar Semester X Quarter Trimester ""4-1-4"" Continuous Differs by program (describe): Other (describe): Boston University Analytical Services & Institutional Research 2024-2025 Boston University Common Data Set 2"
2024-2025,A,A5,. Degrees offered,A5. Degrees offered Certificate X Diploma Associate Transfer associate Terminal associate Bachelor's X Postbachelor's certificate X Master's X Post-master's certificate X Doctoral - Research and Scholarship X Doctoral - Professional Practice X Doctoral - Other Boston University Analytical Services &
2024-2025,B,B1,. Institutional enrollment - men and women (Fall 2024),"B1. Institutional enrollment - men and women (Fall 2024) Undergraduates Full-time Part-time Another Another Men Women Unknown Men Women Unknown Gender Gender Degree-seeking first-time, first year 1,267 1,886 114 1 0 0 0 0 Other first-year degree-seeking 287 414 6 1 2 2 0 1 All other degree-seeking 5"
2024-2025,B,B2,. Enrollment by racial/ethnic category,"B2. Enrollment by racial/ethnic category All first-year All undergraduate degree- degree-seeking * seeking All undergraduate Non-resident aliens 741 3,869 3,931 Hispanic/Latino 382 2,089 2,104 Black, non-Hispanic 102 1,080 1,091 White, non-Hispanic 992 5,879 5,979 American Indian/Alaskan Native 1 9 "
2024-2025,B,B3,". Number of degrees awarded by your institution from July 1, 2023 to June 30, 2024","B3. Number of degrees awarded by your institution from July 1, 2023 to June 30, 2024 TOTAL Certificate/diploma degrees 285 Associate degrees 0 Bachelor's degrees 4505 Postbachelor's certificate degrees 11 Master's degrees 6733 Post-master's certificates 70 Doctoral Degrees - Research/Scholarship 630"
2024-2025,B,B12,- 21. Two-year institutions graduation rate,B12 - 21. Two-year institutions graduation rate
2024-2025,B,B22,. For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students,"B22. For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as first-year students in Fall 2023 (or the preceding summer term), what percentage was enrolled at your institution as of the date your institution calculates its offic"
2024-2025,C,C1,". First-time, first-year students admissions statistics","C1. First-time, first-year students admissions statistics Another Men Women Gender Unknown Total Applied 30,456 44,822 3,479 12 78,769 Admitted 3,492 4,975 278 4 8,749 Full-time enrolled 1,267 1,887 113 1 3,268 Part-time enrolled 0 0 0 0 0"
2024-2025,C,C2,. Freshman wait-listed students (students who met admission requirements but whose final,C2. Freshman wait-listed students (students who met admission requirements but whose final admission was contingent on space availability) Do you have a policy of placing students on a wait-list? Yes Total freshman applicants placed on wait-list 15339 Total freshman applicants accepting place on wai
2024-2025,C,C3,. High school completion requirement,C3. High school completion requirement High school diploma is required and GED accepted; home-schooled students should contact the Office of Admissions.
2024-2025,C,C4,. Does your institution require or recommend a general college preparatory program for degree-,C4. Does your institution require or recommend a general college preparatory program for degree- seeking students? Required
2024-2025,C,C5,. Distribution of high school units required and/or recommended,C5. Distribution of high school units required and/or recommended Units Required Units Recommended English 4.0 4.0 Mathematics* 3.0 4.0 Science (with labs) 3.0 4.0 Foreign language 2.0 4.0 History/Social Studies** 3.0 4.0 Academic Electives - - Computer Science - - Visual/Performing Arts - - Other -
2024-2025,C,C6,". Do you have an open admissions policy, under which virtually all secondary school graduates or","C6. Do you have an open admissions policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? No Boston University Analytical Services & Institutional Research 2024-2025 "
2024-2025,C,C7,". Relative importance of each of the following academic non academic factors in your first-time, first-","C7. Relative importance of each of the following academic non academic factors in your first-time, first- year, degree-seeking (freshman) admissions decisions Very Not Important Important Considered Considered Academic factors Rigor of secondary school record X Class rank X Academic GPA X Standardiz"
2024-2025,C,C8,. Entrance exams,"C8. Entrance exams A. Does your institution make use of SAT, ACT, or SAT Subject Test scores in admissions decisions for first- time, first-year, degree-seeking applicants? Yes SAT or ACT (no preference) Considered if Submitted D. In addition, does your institution use applicants' test scores for ac"
2024-2025,C,C9,". Percent and number of first-time, first-year (freshman) students enrolled in Fall 2024 who","C9. Percent and number of first-time, first-year (freshman) students enrolled in Fall 2024 who submitted national standardized (SAT/ACT) test scores. Percentiles % Submitting Number 25th 50th 75th SAT Evidence-Based SAT I 33% 1093 Reading and Writing 690 720 750 SAT Math 730 760 780 ACT 10% 333 SAT "
2024-2025,C,C10,". Percent of all degree-seeking, first-time, first-year (freshman) students who had high school","C10. Percent of all degree-seeking, first-time, first-year (freshman) students who had high school class rank within each of the following ranges Top 10% 92% Percent of 14% Top 25% 100% fi t ti Top 50% 100% Bottom 50% 0% Bottom 25% 0%"
2024-2025,C,C11,". Percent of all enrolled, degree-seeking, first-time, first-year (freshman) students who had high","C11. Percent of all enrolled, degree-seeking, first-time, first-year (freshman) students who had high school grade-point averages within each of the following ranges (using 4.0 scale) 4.00 41% 3.75 - 3.99 37% 3.50 - 3.74 22% 3.25 - 3.49 0% 3.00 - 3.24 0% 2.50 - 2.99 0% 2.00 - 2.49 - 1.00 - 1.99 - Be"
2024-2025,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year (freshman) students who","C12. Average high school GPA of all degree-seeking, first-time, first-year (freshman) students who submitted GPA 3.9 Percent of total freshman submitting high school GPA 100.0%"
2024-2025,C,C13,. Application fee,C13. Application fee Is there an application fee? Yes Amount of application fee $80 Can it be waived for applicants with financial need? Yes * * Students should speak with high school guidance counselors to request the submission of a fee waiver.
2024-2025,C,C14,. Application closing date,"C14. Application closing date Does your institution have an application closing date? Yes January 5 for fall admissions December 1 for Trustee Scholar, Presidential Scholar, and Thomas M. Menino Scholar programs."
2024-2025,C,C15,". Are first-time, first-year students accepted for terms other than the fall?","C15. Are first-time, first-year students accepted for terms other than the fall? Yes, in most programs"
2024-2025,C,C16,. Notification to applicants of admission decision sent,C16. Notification to applicants of admission decision sent By April 1
2024-2025,C,C17,. Reply policy for admitted applicants,C17. Reply policy for admitted applicants Must reply by May 1. Deadline for housing deposit: Enrollment deposit due May 1 (no separate housing deposit) Amount of housing deposit: Enrollment deposit - $650 Refundable if student does not enroll? No
2024-2025,C,C18,. Deferred admission,"C18. Deferred admission Does your institution allow students to postpone enrollment after admission? Yes, Deferred admission is allowed with a maximum postponement of one year (freshmen only). Boston University Analytical Services & Institutional Research 2024-2025 Boston University Common Data Set "
2024-2025,C,C19,. Early admission of high school students,"C19. Early admission of high school students Does your institution allow high school students to enroll as full-time, first- time (freshman) students one year or more before high school graduation? No"
2024-2025,C,C20,. No longer on the Common Data Set,C20. No longer on the Common Data Set
2024-2025,C,C21,. Early Decision,"C21. Early Decision Does your institution offer an early decision plan for first-time, first-year Yes (freshman) applicants for fall enrollment? First or only early decision plan closing date November 1 First or only early decision plan notification date December 15 Other early decision plan closing"
2024-2025,C,C22,. Early Action,C22. Early Action Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to attending your college? No Boston University Analytical Services & Institutional Research 2024-2025 Boston
2024-2025,D,D1,. Does your institution enroll transfer students?,"D1. Does your institution enroll transfer students? Yes, credits are transferable from other accredited Colleges/Universities."
