year,metric,sex,value
2024-2025,applied,male,4566
2024-2025,applied,female,5888
2024-2025,admitted,male,1643
2024-2025,admitted,female,2591
2024-2025,enrolled,male,325
2024-2025,enrolled,female,414
2023-2024,applied,male,4886
2023-2024,applied,female,6396
2023-2024,admitted,male,1507
2023-2024,admitted,female,2479
2023-2024,enrolled,male,354
2023-2024,enrolled,female,511
2021-2022,applied,male,4091
2021-2022,applied,female,5705
2021-2022,admitted,male,1472
2021-2022,admitted,female,2362
2021-2022,enrolled,male,387
2021-2022,enrolled,female,556
