year,expense,amount
2024-2025,tuition_first_year,69934.0
2024-2025,tuition_out_of_state,1023.0
2024-2025,required_fees,1023.0
2024-2025,food_and_housing,19384.0
2024-2025,housing_only,11060.0
2024-2025,food_only,8324.0
2024-2025,books_supplies,1000.0
2024-2025,transportation,900.0
2024-2025,other_expenses,1200.0
2023-2024,tuition_first_year,67082
2023-2024,required_fees,998
2023-2024,food_and_housing,18584
2023-2024,housing_only,10600
2023-2024,food_only,7984
2023-2024,books_supplies,1000
2023-2024,transportation,900
2023-2024,other_expenses,1200
2021-2022,tuition_first_year,59408
2021-2022,tuition_in_state,5940
2021-2022,tuition_out_of_state,983
2021-2022,required_fees,983
2021-2022,room_only,9380
2021-2022,board_only,7270
2021-2022,room_and_board,16650
2021-2022,books_supplies,1000
2021-2022,transportation,11620
