year,metric,sex,value
2024-2025,applied,male,9401
2024-2025,applied,female,4446
2024-2025,admitted,male,166
2024-2025,admitted,female,190
2024-2025,enrolled,male,107
2024-2025,enrolled,female,111
2023-2024,applied,male,8973
2023-2024,applied,female,4134
2023-2024,admitted,male,230
2023-2024,admitted,female,182
2023-2024,enrolled,male,154
2023-2024,enrolled,female,112
2022-2023,applied,male,11352
2022-2023,applied,female,5274
2022-2023,admitted,male,211
2022-2023,admitted,female,237
2022-2023,enrolled,male,116
2022-2023,enrolled,female,108
2017-2018,applied,male,5381
2017-2018,applied,female,1958
2017-2018,admitted,male,262
2017-2018,admitted,female,306
2017-2018,enrolled,male,127
2017-2018,enrolled,female,108
2002-2003,applied,male,2014
2002-2003,applied,female,601
2002-2003,admitted,male,373
2002-2003,admitted,female,187
2002-2003,enrolled,male,179
2002-2003,enrolled,female,73
