year,category,male,female,unknown
2024-2025,graduate_total,918,525,0
2024-2025,total_undergraduates,987,,
2024-2025,total_graduate,1443,,
2024-2025,grand_total,2430,,
2023-2024,undergrad_FT_total,580,443,
2023-2024,undergrad_PT_total,0,0,
2023-2024,graduate_FT_total,925,515,
2023-2024,graduate_PT_total,0,0,
2023-2024,total_undergraduates,1023,,
2023-2024,total_graduate,1440,,
2023-2024,grand_total,2463,,
2022-2023,graduate_total,927,492,
2022-2023,total_undergraduates,982,,
2022-2023,total_graduate,1419,,
2022-2023,grand_total,2401,,
2017-2018,total_undergraduates,961,,
2017-2018,total_graduate,1277,,
2017-2018,grand_total,2238,,
2010-2011,total_undergraduates,967,,
2010-2011,total_graduate,1208,,
2010-2011,grand_total,2175,,
2002-2003,total_undergraduates,939,,
2002-2003,total_graduate,1181,,
2002-2003,grand_total,2120,,
