year,metric,value
2024-2025,avg_need_based_grant_award,73312
2024-2025,avg_need_based_loan,2027.0
2024-2025,avg_financial_aid_package,74780
2023-2024,avg_need_based_grant_award,74013
2023-2024,avg_need_based_loan,2560
2023-2024,avg_financial_aid_package,74950
2022-2023,avg_need_based_grant_award,63160
2022-2023,avg_need_based_loan,2322.0
2022-2023,avg_financial_aid_package,64303
2017-2018,avg_need_based_grant_award,43675
2017-2018,avg_need_based_loan,3125
2017-2018,avg_financial_aid_package,46321
2010-2011,avg_financial_aid_package,33494
