year,expense,amount
2024-2025,tuition_first_year,65622.0
2024-2025,tuition_out_of_state,3086.0
2024-2025,required_fees,3086.0
2024-2025,books_supplies,1428.0
2024-2025,other_expenses,3285.0
2023-2024,tuition_first_year,63402
2023-2024,required_fees,2496
2023-2024,food_and_housing,20283
2023-2024,housing_only,11697
2023-2024,food_only,8586
2023-2024,books_supplies,1428
2023-2024,transportation,11493
2023-2024,other_expenses,3213
2022-2023,tuition_first_year,60816.0
2022-2023,tuition_out_of_state,2939.0
2022-2023,required_fees,2939.0
2022-2023,room_only,11247.0
2022-2023,board_only,8256.0
2022-2023,room_and_board,19503.0
2010-2011,tuition_first_year,36387
2002-2003,tuition_nonresident,23901
2002-2003,required_fees,216
2002-2003,room_only,4299
2002-2003,board_only,3261
2002-2003,room_and_board,7560
2002-2003,books_supplies,1005
2002-2003,transportation,3729
2002-2003,other_expenses,3729
