year,section,field,label,raw_preview
2024-2025,A,A0,. Respondent Informa on (Not for Publica on),"A0. Respondent Informa on (Not for Publica on) Name Cathleen Kisak Title Research Designer and Analyst Oﬃce Ins tu onal Research and Analysis Mailing Address 5000 Forbes Avenue, UTDC Building, Pi sburgh, PA 15213 Phone 412-268-7546 Fax N/A E-mail Address ckisak@andrew.cmu.edu"
2024-2025,A,A1,. Address Informa on,"A1. Address Informa on Name of College or University Carnegie Mellon University Mailing Address 5000 Forbes Avenue, Pi sburgh, PA 15213 Street Address same as mailing address Main Phone Number 412-268-2000 WWW Home Page Address h p://www.cmu.edu Admissions Phone Number 412-268-2082 Admissions Toll-f"
2024-2025,A,A2,. Source of ins tu onal control:,A2. Source of ins tu onal control: Private (nonprofit)
2024-2025,A,A3,. Classify your undergraduate ins tu on:,A3. Classify your undergraduate ins tu on: Coeduca onal college
2024-2025,A,A4,. Academic year calendar:,A4. Academic year calendar: Semester
2024-2025,A,A5,. Degrees oﬀered by your ins tu on:,A5. Degrees oﬀered by your ins tu on: Bachelor’s Post-bachelor’s cer ficate Master’s Post-master’s cer ficate Doctoral degree—research/scholarship
2024-2025,A,A6,". Diversity, Equity, and Inclusion Web Page:","A6. Diversity, Equity, and Inclusion Web Page: h ps://www.cmu.edu/diversity/ CARNEGIE MELLON UNIVERSITY COMMON DATA SET 2024-2025 2"
2024-2025,B,B1,". Ins tu onal Enrollment - Men and Women, as of October 15, 2024","B1. Ins tu onal Enrollment - Men and Women, as of October 15, 2024 FULL-TIME PART-TIME Men Women Another Un - Men Women Another Un - Undergraduates Degree-seeking, first- me first-year (Pi sburgh 973 780 54 0 1 0 0 0 campus) Degree-seeking, first- me first-year (Doha campus) 55 63 0 0 0 0 0 0 Other "
2024-2025,B,B2,. Enrollment by Racial/Ethnic Category,"B2. Enrollment by Racial/Ethnic Category Degree-seeking Degree-seeking Total First- me First-year, Undergraduates Undergraduates Pi sburgh Campus (include first- me first-year), (both degree– and All Campuses non-degree-seeking), All Campuses Interna onal (nonresident ) 362 1,804 1,823 Hispanic/La n"
2024-2025,B,B3,". Number of degrees awarded by your ins tu on from July 1, 2023 to June 30, 2024","B3. Number of degrees awarded by your ins tu on from July 1, 2023 to June 30, 2024 Cer ficate/diploma Post-master’s cer ficates 5 Bachelor’s degrees 1,799 Doctoral degrees—research/scholarship 346 Postbachelor’s cer ficates 133 Doctoral degrees—professional prac ce Master’s degrees 3,534 Doctoral de"
2024-2025,B,B22,. For the cohort of all full- me bachelor’s (or equivalent) degree-seeking undergraduate students who,"B22. For the cohort of all full- me bachelor’s (or equivalent) degree-seeking undergraduate students who entered your ins tu on as freshmen in Fall 2023 (or the preceding summer term), what percentage 98.0% was enrolled at your ins tu on as of the date your ins tu on calculates its oﬃcial enrollment"
2024-2025,C,C1,". First- me, first-year (freshman) students:","C1. First- me, first-year (freshman) students: Provide the number of degree-seeking, first- me, first-year students who applied, were admi ed, and enrolled (full- or part- me) in Fall 2024. Include early decision, early ac on, and students who began studies during summer in this cohort. Applicants s"
2024-2025,C,C2,". First- me, first-year (freshman) wait-listed students:","C2. First- me, first-year (freshman) wait-listed students: Students who met admission requirements but whose final admission was con ngent on space availability Do you have a policy of placing students on a wai ng list? Yes If yes, please answer the ques ons below for Fall 2024 admissions: Number of"
2024-2025,C,C3,. High school comple on requirement,C3. High school comple on requirement Iden fy your high school comple on requirement for degree-seeking entering students: High school diploma is required and GED is accepted
2024-2025,C,C4,. Does your ins tu on require or recommend a general college-preparatory program for degree-seeking students?,C4. Does your ins tu on require or recommend a general college-preparatory program for degree-seeking students? Require
2024-2025,C,C5,. Distribu on of high school units required and/or recommended.,C5. Distribu on of high school units required and/or recommended. Specify the distribu on of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a diﬀerent system f
2024-2025,C,C6,". Do you have an open admission policy, under which virtually all secondary school graduates or students with","C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admi ed without regard to academic record, test scores, or other qualifica ons? No CARNEGIE MELLON UNIVERSITY COMMON DATA SET 2024-2025 7"
2024-2025,C,C7,". Rela ve importance of each of the following academic and nonacademic factors in your first- me, first-year,","C7. Rela ve importance of each of the following academic and nonacademic factors in your first- me, first-year, degree-seeking (freshmen) admission decisions. Very important Important Considered Not considered Academic Rigor of secondary school record X Class rank X Academic GPA X Standardized test "
2024-2025,C,C8,. Entrance exams,"C8. Entrance exams A. Does your ins tu on make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first- me, first-year, degree- seeking applicants? Yes Reflect your ins tu on’s policies for use in admission for Fall 2024. Require Recommend Require Consider if Not for Some Submi "
2024-2025,C,C9,". Percent and number of first- me, first-year (freshman) students enrolled in Fall 2024 who submi ed na onal","C9. Percent and number of first- me, first-year (freshman) students enrolled in Fall 2024 who submi ed na onal standardized (SAT/ACT) test scores. Include informa on for all enrolled, degree-seeking, first- me, first-year (freshman) students who submi ed their test scores. Percent Submi ng Number Su"
2024-2025,C,C10,". Percent of all degree-seeking, first- me, first-year (freshman) students who had high school class rank within","C10. Percent of all degree-seeking, first- me, first-year (freshman) students who had high school class rank within each of the following ranges (report informa on for those students from whom you collected high school rank informa on). Percent in top tenth of high school gradua ng class 96.8% Perce"
