year,metric,sex,value
2024-2025,applied,male,26575
2024-2025,applied,female,32668
2024-2025,admitted,male,1082
2024-2025,admitted,female,1191
2024-2025,enrolled,male,688
2024-2025,enrolled,female,767
2023-2024,applied,male,23720
2023-2024,applied,female,32219
2023-2024,admitted,male,1087
2023-2024,admitted,female,1142
2023-2024,enrolled,male,694
2023-2024,enrolled,female,728
2022-2023,applied,male,24233
2022-2023,applied,female,34734
2022-2023,admitted,male,1064
2022-2023,admitted,female,1137
2022-2023,enrolled,male,693
2022-2023,enrolled,female,733
2021-2022,applied,male,25145
2021-2022,applied,female,35406
2021-2022,admitted,male,1135
2021-2022,admitted,female,1220
2021-2022,enrolled,male,760
2021-2022,enrolled,female,800
