year,section,field,label,raw_preview
2024-2025,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting dateb1 or as of October 15, 2024.  Note: Report students formerly designated as “first professional” in the graduate cells.  For information"
2024-2025,B,B4,–B21: Graduation Rates,"B4–B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS).  For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,C,C1,-C2: APPLICATIONS,"C1-C2: APPLICATIONS C1. First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024.  Include early decision, early action, and students who began studies during summer in this coho"
2024-2025,C,C2,". First-time, first-year wait-listed students","C2. First-time, first-year wait-listed students  Students who met admission requirements but whose final admission was contingent on space availability. Do you have a policy of placing students on a waiting list? ☑ Yes ☐ No The information provided is accurate and complete to the best of our knowle"
2024-2025,C,C3,. High school completion requirement,C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: ☑ High school diploma is required and GED is accepted ☐ High school diploma is required and GED is not accepted ☐ High school diploma or equivale
2024-2025,C,C4,. Does your institution require or recommend a general college-preparatory program for degree-seeking students?,C4. Does your institution require or recommend a general college-preparatory program for degree-seeking students? ☑ Require ☐ Recommend ☐ Neither require nor recommend
2024-2025,C,C5,. Distribution of high school units required and/or recommended.,C5. Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different syste
2024-2025,C,C6,. D,"C6. D  o you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: ☐ Open admission policy as described above for"
2024-2025,C,C7,. R,"C7. R  elative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree- seeking general (not including programs with specific criteria) admission decisions. Very Important Important Considered Not Considered Academic Rigor of secondary school reco"
2024-2025,C,C8B,. Has been removed from the CDS.,C8B. Has been removed from the CDS.
2024-2025,C,C8C,. Has been removed from the CDS.,"C8C. Has been removed from the CDS. D. In addition, does your institution use applicants’ test scores for academic advising? ☐ Yes ☑ No E. Latest date by which SAT or ACT scores must be received for fall-term admission: February 1 F. If necessary, use this space to clarify your test policies (e.g.,"
2024-2025,C,C9,". Percent and number of first-time, first-year students enrolled in Fall 2024 who submitted national standardized (SAT/","C9. Percent and number of first-time, first-year students enrolled in Fall 2024 who submitted national standardized (SAT/ ACT) test scores.  Include information for ALL enrolled, degree-seeking, first-time, first-year students who submitted test scores.  Do not include partial test scores (e.g., m"
2024-2025,C,C11,. P,"C11. P  ercentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale).  Report information only for those students from whom you collected high school GPA. Score Range Percent Percent who ha"
2024-2025,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA:","C12. Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: % Average High School GPA Percent of total first-time, first-year students who submitted high school GPA: % Percent Submitting GPA The information provided is accurate and complete to the best of o"
2024-2025,C,C13,. Application fee,C13. Application fee  If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Does your institution have an application fee? ☑ Yes ☐ No Amount of application fee: $85 Can it be waived for applicants with financial need? ☑ Yes ☐ No If you have an applic
2024-2025,C,C14,. Application closing date,C14. Application closing date Does your institution have an application closing date? ☑ Yes ☐ No Date Application closing date (fall) January 1 Priority Date
