year,category,male,female,unknown
2024-2025,undergrad_total,4212,4132,145
2024-2025,graduate_total,8702,11611,2
2024-2025,total_undergraduates,9164,,
2024-2025,total_graduate,26009,,
2024-2025,grand_total,35173,,
2023-2024,undergrad_total,4239,4106,83
2023-2024,graduate_total,8816,11512,0
2023-2024,total_undergraduates,9111,,
2023-2024,total_graduate,26168,,
2023-2024,grand_total,35279,,
2022-2023,graduate_total,2,8733,11387
2022-2023,total_undergraduates,3,6668,
2022-2023,total_graduate,25880,,
2022-2023,grand_total,4,34782,
2021-2022,graduate_total,2,9210,11551
2021-2022,total_undergraduates,3,6710,
2021-2022,total_graduate,24944,,
2021-2022,grand_total,4,33775,
