year,metric,sex,value
2024-2025,applied,male,33387
2024-2025,applied,female,32195
2024-2025,admitted,male,2529
2024-2025,admitted,female,2987
2024-2025,enrolled,male,1648
2024-2025,enrolled,female,1877
2023-2024,applied,male,33674.0
2023-2024,applied,female,34172.0
2023-2024,applied,unknown,0.0
2023-2024,admitted,male,2459.0
2023-2024,admitted,female,2899.0
2023-2024,admitted,unknown,0.0
2023-2024,enrolled,male,1643.0
2023-2024,enrolled,female,1894.0
2023-2024,enrolled,unknown,0.0
2017-2018,applied,male,24867
2017-2018,applied,female,22172
2017-2018,admitted,male,2734
2017-2018,admitted,female,3228
2017-2018,enrolled,male,1577
2017-2018,enrolled,female,1772
2010-2011,applied,male,19274
2010-2011,applied,female,17064
2010-2011,admitted,male,3342
2010-2011,admitted,female,3331
2010-2011,enrolled,male,1598
2010-2011,enrolled,female,1580
2008-2009,applied,male,17159
2008-2009,applied,female,15914
2008-2009,admitted,male,3405
2008-2009,admitted,female,3429
2008-2009,enrolled,male,1565
2008-2009,enrolled,female,1574
