year,category,male,female,unknown
2024-2025,undergrad_total,7263,8709,0
2024-2025,graduate_total,4982,4796,0
2024-2025,total_undergraduates,16128,,
2024-2025,total_graduate,10665,,
2023-2024,undergrad_total,7243.0,65.0,8676.0
2023-2024,graduate_total,4618.0,424.0,4817.0
2017-2018,total_undergraduates,14907,,
2017-2018,total_graduate,8109,,
2017-2018,grand_total,23016,,
2010-2011,total_undergraduates,13935,,
2010-2011,total_graduate,7004,,
2010-2011,grand_total,20939,,
2008-2009,total_undergraduates,13846,,
2008-2009,total_graduate,6427,,
2008-2009,grand_total,20273,,
