year,expense,amount
2024-2025,tuition_first_year,71266.0
2024-2025,tuition_out_of_state,1004.0
2024-2025,required_fees,1004.0
2024-2025,food_and_housing,20574.0
2024-2025,housing_only,13246.0
2024-2025,food_only,7328.0
2024-2025,books_supplies,1216.0
2024-2025,transportation,2208.0
2024-2025,other_expenses,2208.0
2017-2018,tuition_first_year,54584
2017-2018,tuition_out_of_state,604
2017-2018,room_and_board,14766
2010-2011,tuition_first_year,41325
2010-2011,tuition_out_of_state,216
2010-2011,room_and_board,13160
2008-2009,tuition_first_year,37750
2008-2009,tuition_out_of_state,204
2008-2009,room_and_board,2009
