year,metric,sex,value
2025-2026,applied,male,14155
2025-2026,applied,female,14063
2025-2026,applied,unknown,12
2025-2026,admitted,male,917
2025-2026,admitted,female,782
2025-2026,admitted,unknown,633
2025-2026,enrolled,male,633
2025-2026,enrolled,female,572
2024-2025,applied,male,15153
2024-2025,applied,female,15812
2024-2025,admitted,male,893
2024-2025,admitted,female,795
2024-2025,enrolled,male,612
2024-2025,enrolled,female,554
2017-2018,applied,male,9487
2017-2018,applied,female,10548
2017-2018,admitted,male,1045
2017-2018,admitted,female,1048
2017-2018,enrolled,male,635
2017-2018,enrolled,female,582
2010-2011,applied,male,8990
2010-2011,applied,female,9788
2010-2011,admitted,male,1096
2010-2011,admitted,female,1097
2010-2011,enrolled,male,578
2010-2011,enrolled,female,561
2003-2004,applied,male,6371
2003-2004,applied,female,5484
2003-2004,admitted,male,1083
2003-2004,admitted,female,1072
2003-2004,enrolled,male,543
2003-2004,enrolled,female,534
