year,section,field,label,raw_preview
2025-2026,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) First Name: Libby Last Name: Barlow Title: Associate Provost for Institutional Research Office: Institutional Research Address Line 1: 6230 North Fairbanks, Room 306 Address Line 2: Address Line 3: City: Hanover State New Hampshire Zipcode 03755 Countr"
2025-2026,A,A0A,,"A0A unclear, or about which you have questions or comments in general. This information will not be published but will help the publishers further refine CDS items."
2025-2026,A,A1,Address Information,A1 Address Information Name of College/University: Dartmouth College Street Address Line 1: 6016 McNutt Hall Street Address Line 2: Street Address Line 3: City Hanover State New Hampshire Zip 03755 Country: United States Main Phone Number (Area Code) Main Phone Number: Main Phone Number (Ext): WWW H
2025-2026,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public X Private (nonprofit) Proprietary
2025-2026,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2025-2026,A,A4,Academic year calendar:,A4 Academic year calendar: Semester X Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2025-2026,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: Certificate Diploma Associate Transfer Associate Terminal Associate X Bachelor's Postbachelor's certificate X Master's Post-master's certificate X Doctoral degree research/scholarship X Doctoral degree – professional practice Doctoral degree -- other $A$5 Doct
2025-2026,A,A6,Campus Belonging Webpage,"A6 Campus Belonging Webpage If your institution has an office or department dedicated to fostering a welcoming and supportive campus climate for individuals from all backgrounds, please provide the URL of the corresponding Web page: CDS-A Page 2"
2025-2026,B,B1,Institutional Enrollment - Males and Females,"B1 Institutional Enrollment - Males and Females Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2025. • Note: Report students formerly designated as “first professional” in the graduate cells. • For informatio"
2025-2026,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2025. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2025-2026,B,B3,"Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025.","B3 Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025. Certificate/diploma Associate degrees Bachelor's degrees 1357 Postbachelor's certificates Master's degrees 677 Post-Master's certificates Doctoral degrees – research/scholarship 123 Doctoral degrees – professional "
2025-2026,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2025-2026 Survey. http"
2025-2026,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students: Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability"
2025-2026,B,B13,"• Service in the armed forces,","B13 • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2025-2026,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                                                             0                 0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2025-2026,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2025-2026,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2025-2026,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2025-2026,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2025-2026,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions: CDS-B Page 5
2025-2026,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2025-2026,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2025-2026,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2024 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2025-2026,C,C1,-C2: Applications,"C1-C2: Applications First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, C1 were admitted, and enrolled (full- or part-time) in Fall 2025. • Include early decision, early action, and students who began studies during summer in this cohor"
2025-2026,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes or No Do you have a policy of placing students on a waiting list? Yes If yes, please answer the questions below for Fall 2025 admissions: WAITING "
2025-2026,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering High school diploma is required and GED is accepted High school diploma is required and GED is not accepted X High school dipl
2025-2026,C,C4,,C4 students? Require X Recommend Neither require nor recommend Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units
2025-2026,C,C5,,"C5 (one unit equals one year of study or its equivalent). If you use a different system for calculating units, please convert. Units Units Distribution of high school units Required Recommended Total academic units English 4 Mathematics 4 Science 4 Of these, units that must be lab Foreign language 4"
2025-2026,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED Open admission policy as described above for all students Open admission policy as described above for most students, but-- selective admission for out-of-sta"
2025-2026,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first- Academic Very Important Important Considered Not Considered Rigor of secondary school record X Class rank X Academic GPA X Standardized test scores X Application Essay X Recommendation(s) X No"
2025-2026,C,C8,: SAT and ACT Policies,C8: SAT and ACT Policies Entrance exams Yes or No
2025-2026,C,C8A,Does your institution make use of SAT or ACT scores in admission                       Yes,"C8A Does your institution make use of SAT or ACT scores in admission Yes If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for students applying for Fall 2027. CDS-C Page 8 Not Not required for Required to be considered for admission"
2025-2026,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2025-2026,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS. Yes or No
2025-2026,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?                    Yes","C8D In addition, does your institution use applicants' test scores for academic advising? Yes"
2025-2026,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission                                  1-Feb,C8E Latest date by which SAT or ACT scores must be received for fall-term admission 1-Feb
2025-2026,C,C8F,"If necessary, use this space to clarify your test policies","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if"
2025-2026,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): X SAT X ACT X AP CLEP X Institutional Exam State Exam (specify):"
2025-2026,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled C9 Percent and number of first-time, first-year students enrolled in Fall 2025 who submitted national • Include information for ALL enrolled,"
2025-2026,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of Assessment Percent Percent in top tenth of high school graduating class 96% Percent in top quarter of high school graduating class 99% Percent in top half of high school graduating class "
2025-2026,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point * Report information only for those students from whom you collected high school GPA. * If you are able to report GPA ranges separately for students that also submitted at least one test s"
2025-2026,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year","C12 Average high school GPA of all degree-seeking, first-time, first-year Percent of total first-time, first-year students who submitted high school GPA: CDS-C Page 10"
2025-2026,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13 Application Fee If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes or No Does your institution have an application fee? Yes Amount of application fee: Yes or No Can it be waived for applicants with financial need
2025-2026,C,C14,Application closing date,C14 Application closing date Yes or No Does your institution have an application closing date? Yes Date Application closing date (fall) 1/3 Priority Date Yes or No
2025-2026,C,C15,"Are first-time, first-year students accepted for terms other than the                      No","C15 Are first-time, first-year students accepted for terms other than the No"
2025-2026,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning (date): X By (date): Early April Other:
2025-2026,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) X Must reply by (date): 1-May No set date Must reply by May 1st or within weeks if notified thereafter Other: Deadline for housing deposit (MMDD): na Amount of housing deposit: $0 Refundable if student does not enroll? Yes, in full Yes, in "
