year,category,male,female,unknown
2025-2026,undergrad_FT_total,2365,2168,0
2025-2026,undergrad_PT_total,75,107,0
2025-2026,undergrad_total,2440,2275,0
2025-2026,graduate_FT_total,1177,1276,0
2025-2026,graduate_PT_total,67,38,0
2025-2026,graduate_total,1244,1314,0
2025-2026,total_FT_students,3542,3444,0
2025-2026,total_PT_students,142,145,0
2025-2026,total_undergraduates,4715,,
2025-2026,total_graduate,2558,,
2025-2026,grand_total,7273,,
2025-2026,FT_first_time_first_year,633,572,
2024-2025,undergrad_FT_total,2322,2158,61
2024-2025,undergrad_PT_total,13,15,1
2024-2025,undergrad_total,2335,2173,62
2024-2025,graduate_FT_total,1116,1151,33
2024-2025,graduate_PT_total,43,23,2
2024-2025,graduate_total,1159,1174,35
2024-2025,total_undergraduates,4570,,
2024-2025,total_graduate,2368,,
2024-2025,grand_total,6938,,
2017-2018,total_undergraduates,4410,,
2017-2018,total_graduate,2099,,
2017-2018,grand_total,6509,,
2010-2011,total_undergraduates,4248,,
2010-2011,total_graduate,1893,,
2010-2011,grand_total,6141,,
2003-2004,total_undergraduates,4098,,
2003-2004,total_graduate,1585,,
2003-2004,grand_total,5683,,
