year,metric,value
2025-2026,avg_need_based_grant_award,71873
2025-2026,avg_need_based_loan,3227
2025-2026,avg_financial_aid_package,73208
2024-2025,avg_need_based_grant_award,69466
2024-2025,avg_need_based_loan,3434
2024-2025,avg_financial_aid_package,71318
2017-2018,avg_need_based_grant_award,51461
2017-2018,avg_need_based_loan,4244
2017-2018,avg_financial_aid_package,52069
2010-2011,avg_need_based_grant_award,37022
2010-2011,avg_need_based_loan,3116
2010-2011,avg_financial_aid_package,39476
2010-2011,avg_per_borrower_cumulative_debt,18792
2003-2004,avg_need_based_grant_award,23278
2003-2004,avg_need_based_loan,3651
2003-2004,avg_financial_aid_package,26516
2003-2004,avg_per_borrower_cumulative_debt,16922
