year,expense,amount
2025-2026,tuition_first_year,69207.0
2025-2026,tuition_out_of_state,2318.0
2025-2026,tuition_nonresident,2318.0
2025-2026,required_fees,2318.0
2025-2026,food_and_housing,20920.0
2025-2026,housing_only,12579.0
2025-2026,food_only,8341.0
2025-2026,books_supplies,1005.0
2025-2026,transportation,608.0
2025-2026,other_expenses,2040.0
2024-2025,tuition_first_year,69207.0
2024-2025,tuition_out_of_state,2318.0
2024-2025,required_fees,2318.0
2024-2025,food_and_housing,20920.0
2024-2025,housing_only,12579.0
2024-2025,food_only,8341.0
2024-2025,books_supplies,1005.0
2024-2025,transportation,608.0
2024-2025,other_expenses,2040.0
2017-2018,tuition_first_year,53496
2017-2018,tuition_out_of_state,1957
2017-2018,room_and_board,15756
2010-2011,tuition_first_year,41736
2010-2011,tuition_in_state,533
2010-2011,tuition_out_of_state,41736
2010-2011,room_and_board,12479
2003-2004,required_fees,296
2003-2004,room_only,5400
2003-2004,board_only,3600
2003-2004,room_and_board,9000
2003-2004,books_supplies,2386
2003-2004,transportation,538
2003-2004,other_expenses,538
