year,metric,sex,value
2024-2025,applied,male,24298
2024-2025,applied,female,27497
2024-2025,admitted,male,1388
2024-2025,admitted,female,1569
2024-2025,enrolled,male,824
2024-2025,enrolled,female,916
2023-2024,applied,male,21533
2023-2024,applied,female,24800
2023-2024,admitted,male,1463
2023-2024,admitted,female,1682
2023-2024,enrolled,male,791
2023-2024,enrolled,female,951
2021-2022,applied,male,23019
2021-2022,applied,female,26504
2021-2022,admitted,male,1306
2021-2022,admitted,female,1615
2021-2022,enrolled,male,777
2021-2022,enrolled,female,967
2020-2021,applied,male,19439
2020-2021,applied,female,20164
2020-2021,admitted,male,1523
2020-2021,admitted,female,1562
2020-2021,enrolled,male,807
2020-2021,enrolled,female,777
