year,category,male,female,unknown
2024-2025,undergrad_FT_total,2994,3480,
2024-2025,undergrad_PT_total,23,26,
2024-2025,undergrad_total,3017,3506,
2024-2025,graduate_FT_total,4492,5990,
2024-2025,graduate_PT_total,269,225,
2024-2025,graduate_total,4761,6215,
2024-2025,total_undergraduates,6523,,
2024-2025,total_graduate,10976,,
2024-2025,grand_total,17499,,
2023-2024,undergrad_total,2987,28,3448
2023-2024,graduate_total,4407,261,5715
2021-2022,total_undergraduates,6883,,
2021-2022,total_graduate,10737,,
2021-2022,grand_total,17620,,
2020-2021,total_undergraduates,6717,,
2020-2021,total_graduate,9455,,
2020-2021,grand_total,16172,,
