year,expense,amount
2024-2025,tuition_first_year,70265
2024-2025,tuition_out_of_state,2907
2024-2025,required_fees,2907
2024-2025,food_and_housing,19247
2024-2025,housing_only,10910
2024-2025,food_only,8337
2024-2025,books_supplies,536
2024-2025,transportation,582
2024-2025,other_expenses,3274
2021-2022,tuition_first_year,60435
2021-2022,tuition_in_state,6043
2021-2022,tuition_out_of_state,2253
2021-2022,required_fees,2253
2021-2022,room_only,9495
2021-2022,board_only,7155
2021-2022,room_and_board,16650
2021-2022,books_supplies,1434
2021-2022,transportation,1976
2021-2022,other_expenses,1976
2020-2021,tuition_first_year,58085
2020-2021,tuition_in_state,5808
2020-2021,tuition_out_of_state,2159
2020-2021,required_fees,2159
2020-2021,room_only,9164
2020-2021,board_only,6862
2020-2021,room_and_board,16026
2020-2021,books_supplies,1434
2020-2021,transportation,1094
2020-2021,other_expenses,1976
