year,metric,sex,value
2024-2025,applied,male,32729
2024-2025,applied,female,40826
2024-2025,admitted,male,8260
2024-2025,admitted,female,9542
2024-2025,enrolled,male,3392
2024-2025,enrolled,female,4119
2023-2024,applied,male,28784
2023-2024,applied,female,36591
2023-2024,admitted,male,6889
2023-2024,admitted,female,8818
2023-2024,enrolled,male,2845
2023-2024,enrolled,female,3917
2018-2019,applied,male,16465
2018-2019,applied,female,22440
2018-2019,admitted,male,5906
2018-2019,admitted,female,9171
2018-2019,enrolled,male,2716
2018-2019,enrolled,female,4085
