year,category,male,female,unknown
2024-2025,undergrad_total,16567,20006,
2024-2025,graduate_FT_total,5703,6928,
2024-2025,graduate_PT_total,2593,4514,
2024-2025,graduate_total,8296,11442,
2024-2025,total_undergraduates,36573,,
2024-2025,total_graduate,19738,,
2024-2025,grand_total,56311,,
2023-2024,undergrad_FT_total,13781,17790,0
2023-2024,undergrad_PT_total,1721,1632,0
2023-2024,undergrad_total,15502,19422,0
2023-2024,graduate_FT_total,5873,6933,0
2023-2024,graduate_PT_total,2464,4620,0
2023-2024,graduate_total,8337,11553,0
2023-2024,total_undergraduates,34924,,
2023-2024,total_graduate,19890,,
2023-2024,grand_total,54814,,
2018-2019,total_undergraduates,35491,,
2018-2019,total_graduate,16727,,
2018-2019,grand_total,52218,,
