year,expense,amount
2024-2025,tuition_first_year,4477
2024-2025,tuition_in_state,4477
2024-2025,tuition_out_of_state,25694
2024-2025,tuition_nonresident,856.45
2024-2025,required_fees,1904
2024-2025,food_and_housing,12615
2024-2025,housing_only,7800
2024-2025,food_only,4815
2024-2025,books_supplies,826
2024-2025,transportation,1660
2024-2025,other_expenses,2699
2023-2024,tuition_first_year,4477
2023-2024,tuition_in_state,4477
2023-2024,tuition_out_of_state,25694
2023-2024,tuition_nonresident,856.45
2023-2024,required_fees,1904
2023-2024,room_only,6900
2023-2024,board_only,4600
2023-2024,room_and_board,11500
2023-2024,food_and_housing,1570
2023-2024,housing_only,6900
2023-2024,food_only,690
2023-2024,books_supplies,1060
2023-2024,transportation,1570
2023-2024,other_expenses,2640
2018-2019,tuition_first_year,4477
2018-2019,tuition_in_state,25694
2018-2019,tuition_out_of_state,28658
2018-2019,tuition_nonresident,2569
2018-2019,required_fees,1904
2018-2019,room_only,5750
2018-2019,board_only,4470
2018-2019,room_and_board,10220
2018-2019,books_supplies,850
2018-2019,transportation,1110
2018-2019,other_expenses,2650
