year,metric,sex,value
2024-2025,applied,male,40022
2024-2025,applied,female,19765
2024-2025,admitted,male,4634
2024-2025,admitted,female,3779
2024-2025,enrolled,male,2168
2024-2025,enrolled,female,1682
2021-2022,applied,male,30450
2021-2022,applied,female,14938
2021-2022,admitted,male,4632
2021-2022,admitted,female,3676
2021-2022,enrolled,male,2011
2021-2022,enrolled,female,1460
2020-2021,applied,male,27625
2020-2021,applied,female,13227
2020-2021,admitted,male,5090
2020-2021,admitted,female,3629
2020-2021,enrolled,male,1933
2020-2021,enrolled,female,1327
