year,category,male,female,unknown
2024-2025,undergrad_FT_total,10558,7155,0
2024-2025,undergrad_PT_total,1856,1023,0
2024-2025,undergrad_total,12414,8178,
2024-2025,graduate_FT_total,5816,2841,0
2024-2025,graduate_PT_total,17939,6175,0
2024-2025,graduate_total,23755,9016,
2024-2025,total_undergraduates,20592,,
2024-2025,total_graduate,32771,,
2024-2025,grand_total,53363,,
2021-2022,total_undergraduates,17447,,
2021-2022,total_graduate,26397,,
2021-2022,grand_total,43844,,
2020-2021,total_undergraduates,16561,,
2020-2021,total_graduate,23211,,
2020-2021,grand_total,39772,,
