year,expense,amount
2024-2025,tuition_first_year,10512
2024-2025,tuition_in_state,10512
2024-2025,tuition_out_of_state,32938
2024-2025,tuition_nonresident,1398.58
2024-2025,required_fees,1546
2024-2025,food_and_housing,13608
2024-2025,housing_only,7654
2024-2025,food_only,5954
2024-2025,books_supplies,800
2024-2025,transportation,400
2024-2025,other_expenses,2860
2021-2022,tuition_first_year,10258
2021-2022,tuition_in_state,10258
2021-2022,tuition_out_of_state,31370
2021-2022,tuition_nonresident,1307.0
2021-2022,required_fees,2600
2021-2022,room_only,7100
2021-2022,board_only,5480
2021-2022,room_and_board,12580
2021-2022,books_supplies,800
2021-2022,transportation,3260
2021-2022,other_expenses,3260
2020-2021,tuition_first_year,10258
2020-2021,tuition_in_state,10258
2020-2021,tuition_out_of_state,31370
2020-2021,tuition_nonresident,1224.0
2020-2021,required_fees,2594
2020-2021,room_only,6918
2020-2021,board_only,5328
2020-2021,room_and_board,12246
2020-2021,books_supplies,800
2020-2021,transportation,3260
2020-2021,other_expenses,3260
