year,metric,sex,value
2024-2025,applied,male,25613
2024-2025,applied,female,28372
2024-2025,admitted,male,920
2024-2025,admitted,female,1050
2024-2025,enrolled,male,767
2024-2025,enrolled,female,880
2023-2024,applied,male,26301
2023-2024,applied,female,30636
2023-2024,admitted,male,914
2023-2024,admitted,female,1051
2023-2024,enrolled,male,765
2023-2024,enrolled,female,880
2022-2023,applied,male,28024
2022-2023,applied,female,33197
2022-2023,admitted,male,908
2022-2023,admitted,female,1076
2022-2023,enrolled,male,740
2022-2023,enrolled,female,906
2017-2018,applied,male,19782
2017-2018,applied,female,19724
2017-2018,admitted,male,1033
2017-2018,admitted,female,1004
2017-2018,enrolled,male,850
2017-2018,enrolled,female,837
2010-2011,applied,male,15506
2010-2011,applied,female,14983
2010-2011,admitted,male,1143
2010-2011,admitted,female,1062
2010-2011,enrolled,male,836
2010-2011,enrolled,female,828
2007-2008,applied,male,11389
2007-2008,applied,female,11566
2007-2008,admitted,male,1042
2007-2008,admitted,female,1066
2007-2008,enrolled,male,819
2007-2008,enrolled,female,840
