year,category,male,female,unknown
2024-2025,undergrad_FT_total,3271,3762,0
2024-2025,undergrad_PT_total,4,1,0
2024-2025,undergrad_total,3275,3763,0
2024-2025,graduate_FT_total,6068,7014,0
2024-2025,graduate_PT_total,425,644,0
2024-2025,graduate_total,6493,7658,0
2024-2025,total_undergraduates,7038,,
2024-2025,total_graduate,14151,,
2024-2025,grand_total,21189,,
2023-2024,undergrad_total,3349,0,3761
2023-2024,graduate_total,6012,444,7059
2022-2023,total_undergraduates,7240,,
2022-2023,total_graduate,14373,,
2022-2023,grand_total,21613,,
2017-2018,total_undergraduates,6766,,
2017-2018,total_graduate,13838,,
2017-2018,grand_total,20604,,
2010-2011,total_undergraduates,6641,,
2010-2011,total_graduate,13975,,
2010-2011,grand_total,20616,,
2007-2008,total_undergraduates,6648,,
2007-2008,total_graduate,12609,,
2007-2008,grand_total,19257,,
