year,metric,value
2024-2025,student_faculty_ratio,7:1
2024-2025,total_instructional_faculty,2162
2023-2024,student_faculty_ratio,7:1
2023-2024,total_instructional_faculty,2162
2022-2023,student_faculty_ratio,7:1
2022-2023,total_instructional_faculty,2139
2017-2018,student_faculty_ratio,6:1
2017-2018,total_instructional_faculty,2023
2010-2011,student_faculty_ratio,6.9:1
2010-2011,total_instructional_faculty,2189
2007-2008,student_faculty_ratio,6.8:1
2007-2008,total_instructional_faculty,2265
