year,expense,amount
2024-2025,tuition_first_year,59320
2024-2025,tuition_out_of_state,5476
2024-2025,required_fees,5476
2024-2025,food_and_housing,22130
2024-2025,housing_only,13532
2024-2025,food_only,8598
2024-2025,books_supplies,1000
2024-2025,transportation,2500
2024-2025,other_expenses,2500
2023-2024,tuition_first_year,202
2023-2024,tuition_in_state,5655
2023-2024,tuition_out_of_state,5126.0
2023-2024,required_fees,5126.0
2023-2024,food_and_housing,21190.0
2023-2024,housing_only,12922.0
2023-2024,food_only,8268.0
2023-2024,books_supplies,1000.0
2023-2024,transportation,2500.0
2023-2024,other_expenses,2500.0
2022-2023,tuition_first_year,54269
2022-2023,tuition_in_state,5426
2022-2023,tuition_out_of_state,4807
2022-2023,required_fees,4807
2022-2023,room_only,12424
2022-2023,board_only,7950
2022-2023,room_and_board,20374
2022-2023,books_supplies,1000
2022-2023,transportation,2500
2022-2023,other_expenses,2500
2017-2018,tuition_first_year,46340
2017-2018,tuition_out_of_state,46340
2017-2018,room_and_board,2018
2010-2011,tuition_first_year,36305
2010-2011,tuition_out_of_state,3546
2010-2011,room_and_board,2350
2007-2008,tuition_first_year,32557
2007-2008,tuition_out_of_state,32557
2007-2008,room_and_board,2035
