year,expense,amount
2023-2024,tuition_first_year,9286
2023-2024,tuition_in_state,9286
2023-2024,tuition_out_of_state,31374
2023-2024,tuition_nonresident,1307.25
2023-2024,required_fees,1997
2023-2024,food_and_housing,12920
2023-2024,housing_only,199
2023-2024,food_only,1292
2023-2024,books_supplies,950
2023-2024,transportation,1140
2023-2024,other_expenses,2926
2019-2020,tuition_first_year,8073
2019-2020,tuition_in_state,8073
2019-2020,tuition_out_of_state,30036
2019-2020,room_and_board,9424
