year,metric,sex,value
2025-2026,applied,male,9791
2025-2026,applied,female,9542
2025-2026,applied,unknown,9
2025-2026,admitted,male,2690
2025-2026,admitted,female,2911
2025-2026,admitted,unknown,756
2025-2026,enrolled,male,756
2025-2026,enrolled,female,779
2024-2025,applied,male,10556
2024-2025,applied,female,9834
2024-2025,admitted,male,2551
2024-2025,admitted,female,2736
2024-2025,enrolled,male,795
2024-2025,enrolled,female,706
2019-2020,applied,male,8926
2019-2020,applied,female,6723
2019-2020,admitted,male,2608
2019-2020,admitted,female,2415
2019-2020,enrolled,male,776
2019-2020,enrolled,female,630
