year,section,field,label,raw_preview
2025-2026,A,A0,Respondent Information (Not for Publication),A0 Respondent Information (Not for Publication) First Name: Caroline Last Name: Seguin Title: Director of Institutional Research Office: Office of Institutional Research Address Line 1: 27 Memorial Dr West Address Line 2: Address Line 3: City: Bethlehem State Pennsylvania Zipcode 18015 Country: Unit
2025-2026,A,A0A,,"A0A methodology is unclear, or about which you have questions or comments in general. This information will not be published but will help the publishers further refine CDS items."
2025-2026,A,A1,Address Information,A1 Address Information Name of College/University: Lehigh University Street Address Line 1: 27 Memorial Dr West Street Address Line 2: Street Address Line 3: City Bethlehem State Pennsylvania Zip 18015 Country: United States Main Phone Number (Area Code) 610 Main Phone Number: 758-3000 Main Phone Nu
2025-2026,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public x Private (nonprofit) Proprietary
2025-2026,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: x Coeducational college Men's college Women's college
2025-2026,A,A4,Academic year calendar:,A4 Academic year calendar: x Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2025-2026,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: x Certificate Diploma Associate Transfer Associate Terminal Associate x Bachelor's x Postbachelor's certificate x Master's Post-master's certificate x Doctoral degree research/scholarship Doctoral degree – professional practice Doctoral degree -- other $A$5Doc
2025-2026,A,A6,Campus Belonging Webpage,"A6 Campus Belonging Webpage If your institution has an office or department dedicated to fostering a welcoming and supportive campus climate for individuals from all backgrounds, please provide the URL of the corresponding Web page: https://www2.lehigh.edu/inclusive-excellence-belonging CDS-A Page 2"
2025-2026,B,B1,Institutional Enrollment - Males and Females,"B1 Institutional Enrollment - Males and Females Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2025. • Note: Report students formerly designated as “first professional” in the graduate cells. • For informatio"
2025-2026,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2025. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2025-2026,B,B3,"Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025.","B3 Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025. Certificate/diploma 7 Associate degrees Bachelor's degrees 1448 Postbachelor's certificates 34 Master's degrees 482 Post-Master's certificates Doctoral degrees – research/scholarship 107 Doctoral degrees – professi"
