year,category,male,female,unknown
2025-2026,undergrad_FT_total,3024,2902,0
2025-2026,undergrad_PT_total,33,27,0
2025-2026,undergrad_total,3057,2929,0
2025-2026,graduate_FT_total,606,538,5
2025-2026,graduate_PT_total,328,442,4
2025-2026,graduate_total,934,980,9
2025-2026,total_FT_students,3630,3440,5
2025-2026,total_PT_students,361,469,4
2025-2026,total_undergraduates,5986,,
2025-2026,total_graduate,1923,,
2025-2026,grand_total,7909,,
2024-2025,undergrad_total,3017,2805,0
2024-2025,graduate_total,575,472,0
2024-2025,total_undergraduates,5911,,
2024-2025,total_graduate,1781,,
2024-2025,grand_total,7692,,
2019-2020,total_undergraduates,5178,,
2019-2020,total_graduate,1775,,
2019-2020,grand_total,6953,,
