year,metric,sex,value
2024-2025,applied,male,48101
2024-2025,applied,female,50209
2024-2025,applied,unknown,98310
2024-2025,admitted,male,6684
2024-2025,admitted,female,8689
2024-2025,admitted,unknown,15373
2024-2025,enrolled,male,3199
2024-2025,enrolled,female,4079
2024-2025,enrolled,unknown,7278
2023-2024,applied,male,43607
2023-2024,applied,female,44024
2023-2024,applied,unknown,1
2023-2024,enrolled,male,3417
2023-2024,enrolled,female,4049
2020-2021,applied,male,33386
2020-2021,applied,female,31635
2020-2021,enrolled,male,3263
2020-2021,enrolled,female,3616
