year,section,field,label,raw_preview
2024-2025,A,A1,. Address Information,A1. Address Information Please enter general institution information below: Name of College or University University of Michigan Street Address: 500 S. State Street City: Ann Arbor State: Michigan Zip: 48109 Country: United States Main Institution Phone Number: (734) 764-1817 Main Institution Websit
2024-2025,A,A2,. Source of Institutional Control:                                                   Public,A2. Source of Institutional Control: Public
2024-2025,A,A3,. Classify your undergraduate institution:                                      Coeducational,A3. Classify your undergraduate institution: Coeducational
2024-2025,A,A4,. Academic year calendar:                                                          Trimester,A4. Academic year calendar: Trimester
2024-2025,A,A4A,. Describe if calendar differs by program or other:,A4A. Describe if calendar differs by program or other:
2024-2025,A,A5,. Degrees offered by your institution (select all that apply).,A5. Degrees offered by your institution (select all that apply). Certificate Master's Diploma Post-Master's certificate Associate Doctoral degree - research/scholarship Terminal Doctoral degree - professional practice Transfer Doctoral degree - other Bachelor's Post-Bachelor's certificate 7/18/2025 
2024-2025,B,B1,. Institutional Enrollment,"B1. Institutional Enrollment Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. 1. Report students formaly designated as ""first professional"" in the graduate counts. 2. If your institution collects and repo"
2024-2025,B,B3,. Persistence / Degrees,"B3. Persistence / Degrees Number of degrees awarded by your institution from July 1, 2023 to June 30, 2024. Degrees + certificates Degrees only Certificate/Diploma Associate's Degrees Bachelor's Degrees 8,444 53% 8,444 54% Postbachelor's Certificates 0 0% Master's Degrees 5,591 35% 5,591 35% Post-Ma"
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term). The initial cohort may be adjusted for students who departed for the following reasons: Deceased, Armed Fo"
2024-2025,C,C1,". Applications: First-time, First-year Students","C1. Applications: First-time, First-year Students Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024. 1. Include early decision, early action, and students who began studies during summer in this cohort. 2."
2024-2025,C,C2,". Applications: First-time, First-year Wait-Listed Students","C2. Applications: First-time, First-year Wait-Listed Students Do you have a policy of placing students on a waiting list? Yes Number of qualified applicants offered a place on waiting list: 24,804 Number accepting a place on the waiting list: 18,793 Number of wait-listed students admitted: 973 Is yo"
2024-2025,C,C3,. Admission Requirements: High School Completion Requirement,C3. Admission Requirements: High School Completion Requirement Does your institution require high school completion for degree-seeking entering students? High school diploma is required and GED is accepted
2024-2025,C,C4,. Admission Requirements: General College-Prepatory Program,C4. Admission Requirements: General College-Prepatory Program Does your institution require OR recommend a general college-preparatory program for degree-seeking students? Recommend 7/18/2025 CDS-C First-Years Page 6 of 26 C5. Admission Requirements: High School Units Required/Recommended Specify th
2024-2025,C,C6,. Basis for Selection: Open Admission Policy,"C6. Basis for Selection: Open Admission Policy Does your institution have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If ""Other"" is selec"
2024-2025,C,C7,. Basis for Selection: Relative Importance of Factors in Admission Decisions,"C7. Basis for Selection: Relative Importance of Factors in Admission Decisions Please indicate the relative importance of each of the following academic and non-academic factors in your first-time, first-year degree- seeking general admission decisions (not including programs with specific criteria)"
2024-2025,C,C8,. SAT and ACT Policies,"C8. SAT and ACT Policies Does your institution make use of SAT or ACT scores in admissions decisions for first-time, first-year, degree- Yes seeking applicants? SAT and/or ACT Recommended ACT Only SAT Only Does your institution use applicants' test scores for academic advising? No What is the latest"
2024-2025,C,C11,. High School Grade Point Ranges,"C11. High School Grade Point Ranges Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). 1. Report information only for those students from whom you collected high school GPA. 2. If"
2024-2025,C,C12,. Average High School GPA,"C12. Average High School GPA Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: 3.9 Percent of total first-time, first-year students who submitted high school GPA: 92.4%"
2024-2025,C,C13,. Application Fee,"C13. Application Fee Does your institution have an application fee? Yes If yes, what is the amount of the application fee: $75 If yes, can the fee be waived for applicants with financial need? Yes If you have an application fee, and have an online application Same Fee option, please indicate the pol"
2024-2025,C,C14,. Application Closing Date,C14. Application Closing Date Does your institution have an application closing date? Yes Application Closing Date (Fall) 2/1 Priority Date 11/1
2024-2025,C,C15,". First-time, first-year student acceptance other than Fall","C15. First-time, first-year student acceptance other than Fall Are first-time, first-year students accepted for terms other than the Fall? Yes 7/18/2025 CDS-C First-Years Page 10 of 26 C16. Admissions Notification to Applicants Are notifications to applicants of admission decision sent on a rolling "
2024-2025,C,C17,. Reply Policy for Applicants,"C17. Reply Policy for Applicants What is your institution's reply policy for admitted applicants? Must reply by set date If you selected reply by May 1st or within a set number of weeks, please enter number of weeks: 2 If you selected specific date, please enter the date here: (MM/DD) Please provide"
2024-2025,C,C18,. Deferred Admission,"C18. Deferred Admission Does your institution allow students to postpone enrollment after admission? Yes If yes, what is the maximum period of postponement? Usually 1 year"
2024-2025,C,C19,. Early Admissions,"C19. Early Admissions Does your institution allow high school students to enroll as full-time, No first-time, first-year students one year or more before high school graduation?"
2024-2025,C,C20,. Common Application (Question Removed from CDS.),C20. Common Application (Question Removed from CDS.)
2024-2025,C,C21,. Early Decision,"C21. Early Decision Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification No date and that asks students to commit to attending if accepted) for first-time, first-year "
2024-2025,C,C22,. Early Action,"C22. Early Action Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to Yes attending your college? If yes, please complete the following: (MM/DD) Early action closing date: 11/1"
2024-2025,D,D1,. Fall Applicants: Transfer Student Enrollment,"D1. Fall Applicants: Transfer Student Enrollment Does your institution enroll transfer students? Yes If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at Yes other colleges/universities?"
2024-2025,D,D2,. Fall Applicants: Student Counts,"D2. Fall Applicants: Student Counts Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024. If your institution collects and reports non-binary gender data, please use the Another Gender category. Admitted Enrolled Applicants Applican"
2024-2025,D,D3,. Enrollment Terms,D3. Enrollment Terms Please indicate which terms for which transfer students may enroll: (select all that apply) Fall Spring Winter Summer
2024-2025,D,D4,. Transfer Applicants Minimum Credits,"D4. Transfer Applicants Minimum Credits Must a transfer applicant have a minimum number of credits/courses completed No or else must apply as an entering first-year student? If yes, what is the minimum number and the unit type? Number: Unit Type:"
2024-2025,D,D5,. Requirements for Admission,"D5. Requirements for Admission Please indicate if the below items are required, recommended, or not of transfer students to apply for admission: High school transcript Required of All College transcript(s) Required of All Essay or personal statement Required of All Interview Required of Some Standar"
2024-2025,D,D6,. Minimum High School GPA Required,"D6. Minimum High School GPA Required If a minimum high school grade point average is required of transfer applicants, specificy (on a 4.0) scale: GPA Required: n/a"
2024-2025,D,D7,. Minimum College GPA Required,"D7. Minimum College GPA Required If a minimum college grade point average is required of transfer applicants, specificy (on a 4.0) scale: GPA Required: n/a 7/18/2025 CDS-D Transfers Page 12 of 26 D8. List any other application requirements specific to transfer applicants: admissions.umich.edu/apply/"
2024-2025,D,D9,. Application Specific Dates,"D9. Application Specific Dates List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the ""Rolling Admission"" column. Priority Date Closing Date Reply Date Rolling Admissi"
2024-2025,D,D10,. Open Admission Policy,"D10. Open Admission Policy Does an open admission policy, if reported, apply to transfer students?"
2024-2025,D,D11,. Additional Requirements,"D11. Additional Requirements Please describe any additional requirements for transfer students, if applicable: admissions.umich.edu/apply/transfer-students"
2024-2025,D,D12,. Lowest Grade Allowable for Transfer Credit,D12. Lowest Grade Allowable for Transfer Credit Report the lowest grade earned for any course that may be transferred for credit: Lowest grade: C
2024-2025,D,D13,. Maximum Credits Transferred to two-year institutions,D13. Maximum Credits Transferred to two-year institutions Report the maximum number of credits or courses that may be transferred from a two-year institution: Number: 62 Unit Type: Credit(s)
2024-2025,D,D14,. Maximum Credits Transferred to four-year institutions,D14. Maximum Credits Transferred to four-year institutions Report the maximum number of credits or courses that may be transferred from a four-year institution: Number: 60 Unit Type: Credit(s)
2024-2025,D,D15,. Minimum Credits to Earn Associate Degree,D15. Minimum Credits to Earn Associate Degree Report the minimum number of credits that transfer students must complete at your institution to earn an associate degree: Number:
2024-2025,D,D16,. Minimum Credits to Earn Bachelor's Degree,D16. Minimum Credits to Earn Bachelor's Degree Report the minimum number of credits that transfer students must complete at your institution to earn a bachelor's degree: Number: 60
2024-2025,D,D17,: Other Credit Policies,D17: Other Credit Policies Please describe any other transfer credit policies: admissions.umich.edu/apply/transfer-students 7/18/2025 CDS-D Transfers Page 13 of 26 D18: Military/Veteran Transfer Credits Does your institution accept the following military/veteran transfer credits: (select all that ap
2024-2025,D,D19,: Maximum Credits Transferred - ACE,D19: Maximum Credits Transferred - ACE Report the maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE): Number: 60 Unit Type: Credit(s)
2024-2025,D,D20,": Maximum Credits Transferred - CLEP, DSST","D20: Maximum Credits Transferred - CLEP, DSST Report the maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Number: 10 Unit Type: Cred"
2024-2025,D,D21,: Published Transfer Policies,"D21: Published Transfer Policies Are the military/veteran credit transfer policies published on your website? Yes see https://vets.umich.edu/prospective- If yes, please provide the URL where the policy can be located: students/undergraduate-students/transfer-credit/"
2024-2025,D,D22,: Unique Transfer Policies,D22: Unique Transfer Policies Please describe other military/veteran transfer credit policies unique to your institution: U-M is very conservative on awarding military course transfer credits. END OF SECTION D 7/18/2025 CDS-D Transfers Page 14 of 26
2024-2025,E,E1,. Special study options,E1. Special study options Please identify the programs available at your institution. Refer to the glossary for definitions. Select all that apply. Accelerated program Honors program Comprehensive transition and postsecondary program for Independent study students with intellectual disabilities Cros
2024-2025,E,E2,. Removed from the CDS.,E2. Removed from the CDS.
2024-2025,E,E3,. Required Coursework for Graduation,"E3. Required Coursework for Graduation Please indicate the areas in which all, or most, students are required to complete some course work prior to graduation: Select all that apply. Arts / fine arts Intensive Writing Computer literacy Mathematics English (including composition) Philosophy Foreign l"
2024-2025,F,F1,". First-time, first-year degree-seeking students and undergraduates enrolled","F1. First-time, first-year degree-seeking students and undergraduates enrolled Please complete the table below with the percentages or average age of first-time, first-year degree-seeking students and degree- seeking undergraduates enrolled in Fall 2024 who fit into the following categories: First-t"
2024-2025,F,F2,. Activities Offered,F2. Activities Offered Please identify all programs available at your institution. Campus Ministries Literary magazine Student government Choral groups Marching band Student newspaper Concert band Model UN Student-run film society Dance Music ensembles Symphony orchestra Drama/theater Opera Televisi
2024-2025,F,F3,. ROTC (program offered in cooperation with Reserve Officers' Training Corps) select all that apply.,"F3. ROTC (program offered in cooperation with Reserve Officers' Training Corps) select all that apply. Army ROTC is offered: On Campus At cooperating institution If at cooperating institution, please list institution: Naval ROTC is offered: Marine Option On Campus At cooperating institution If at co"
2024-2025,F,F4,. Housing,"F4. Housing Please check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution. Apartments for married students Men's residence halls Apartments for single students Special housing for international students Coed residence halls Special housin"
2024-2025,G,G0,. Net Price Calculator URL,"G0. Net Price Calculator URL Please provide the URL of your instititution's net price calculator: npc.collegeboard.org/student/app/umich For the following sections, please provide 2025-26 academic year costs of attendance for the following categories that are applicable to your institution. If unava"
2024-2025,G,G1,". Undergraduate, full-time tuition, required fees, food and housing","G1. Undergraduate, full-time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the full academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiplying cred"
2024-2025,G,G2,. Credits Per Term,G2. Credits Per Term Please enter the number of credits per term a student can take for the stated full-time tuition: Minimum number of credits: 12 Maximum number of credits: 18
2024-2025,G,G3,. Tuition and Fee Variance by Year of Study,"G3. Tuition and Fee Variance by Year of Study Do tuition and fees vary by year of study (e.g. sophomore, junior, senior)? Yes"
