year,metric,sex,value
2024-2025,applied,male,20012
2024-2025,applied,female,21345
2024-2025,admitted,male,15827
2024-2025,admitted,female,17170
2024-2025,enrolled,male,3411
2024-2025,enrolled,female,3946
2023-2024,applied,male,18901
2023-2024,applied,female,20862
2023-2024,admitted,male,14427
2023-2024,admitted,female,16218
2023-2024,enrolled,male,3111
2023-2024,enrolled,female,3610
2018-2019,applied,male,21088
2018-2019,applied,female,22356
2018-2019,admitted,male,10187
2018-2019,admitted,female,12338
2018-2019,enrolled,male,2639
2018-2019,enrolled,female,3338
