year,category,male,female,unknown
2024-2025,graduate_total,3654,5443,0
2024-2025,total_undergraduates,41303,,
2024-2025,total_graduate,15363,,
2024-2025,grand_total,56666,,
2023-2024,undergrad_FT_total,13323,15801,
2023-2024,undergrad_PT_total,4629,5803,
2023-2024,graduate_FT_total,3790,5527,
2023-2024,graduate_PT_total,2753,3264,
2023-2024,total_undergraduates,39556,,
2023-2024,total_graduate,15334,,
2023-2024,grand_total,54890,,
2018-2019,total_undergraduates,34633,,
2018-2019,total_graduate,16310,,
2018-2019,grand_total,50943,,
