year,metric,sex,value
2024-2025,applied,male,17210
2024-2025,applied,female,8975
2024-2025,admitted,male,606
2024-2025,admitted,female,612
2024-2025,enrolled,male,547
2024-2025,enrolled,female,499
2023-2024,applied,male,16386
2023-2024,applied,female,8669
2023-2024,admitted,male,607
2023-2024,admitted,female,617
2023-2024,enrolled,male,530
2023-2024,enrolled,female,508
2022-2023,applied,male,21588
2022-2023,applied,female,12179
2022-2023,admitted,male,661
2022-2023,admitted,female,676
2021-2022,applied,male,21672
2021-2022,applied,female,11568
2021-2022,admitted,male,665
2021-2022,admitted,female,700
2020-2021,applied,male,13528
2020-2021,applied,female,6547
2020-2021,admitted,male,702
2020-2021,admitted,female,755
2019-2020,applied,male,14522
2019-2020,applied,female,6790
2019-2020,admitted,male,703
2019-2020,admitted,female,724
2018-2019,applied,male,14689
2018-2019,applied,female,7017
2018-2019,admitted,male,721
2018-2019,admitted,female,743
2017-2018,applied,male,13993
2017-2018,applied,female,6254
2017-2018,admitted,male,734
2017-2018,admitted,female,718
2017-2018,enrolled,male,592
2017-2018,enrolled,female,505
2016-2017,applied,male,13131
2016-2017,applied,female,5889
2016-2017,admitted,male,757
2016-2017,admitted,female,754
2016-2017,enrolled,male,599
2016-2017,enrolled,female,511
2015-2016,applied,male,12750
2015-2016,applied,female,5556
2015-2016,admitted,male,780
2015-2016,admitted,female,739
2015-2016,enrolled,male,589
2015-2016,enrolled,female,517
2014-2015,applied,male,12765
2014-2015,applied,female,5591
2014-2015,admitted,male,740
2014-2015,admitted,female,707
2014-2015,enrolled,male,545
2014-2015,enrolled,female,498
2009-2010,applied,male,10970
2009-2010,applied,female,4693
2009-2010,admitted,male,864
2009-2010,admitted,female,812
2009-2010,enrolled,male,594
2009-2010,enrolled,female,478
2004-2005,applied,male,7669
2004-2005,applied,female,2797
2004-2005,admitted,male,898
2004-2005,admitted,female,767
2004-2005,enrolled,male,620
2004-2005,enrolled,female,457
2003-2004,applied,male,7651
2003-2004,applied,female,2898
2003-2004,admitted,male,885
2003-2004,admitted,female,850
2003-2004,enrolled,male,560
2003-2004,enrolled,female,459
