year,metric,value
2024-2025,applied,26185
2024-2025,admitted,1218
2024-2025,enrolled,1046
2023-2024,applied,25055
2023-2024,admitted,1224
2023-2024,enrolled,1038
2022-2023,applied,33767
2022-2023,admitted,1337
2021-2022,applied,33240
2021-2022,admitted,1365
2020-2021,applied,20075
2020-2021,admitted,1457
2019-2020,applied,21312
2019-2020,admitted,1427
2018-2019,applied,21706
2018-2019,admitted,1464
2017-2018,applied,20247
2017-2018,admitted,1452
2017-2018,enrolled,1097
2016-2017,applied,19020
2016-2017,admitted,1511
2016-2017,enrolled,1110
2015-2016,applied,18306
2015-2016,admitted,1519
2015-2016,enrolled,1106
2014-2015,applied,18356
2014-2015,admitted,1447
2014-2015,enrolled,1043
2009-2010,applied,15663
2009-2010,admitted,1676
2009-2010,enrolled,1072
2004-2005,applied,10466
2004-2005,admitted,1665
2004-2005,enrolled,1077
2003-2004,applied,10549
2003-2004,admitted,1735
2003-2004,enrolled,1019
