year,section,field,label,raw_preview
2024-2025,A,A1,. Address Information,"A1. Address Information Name of College or University: Massachusetts Institute of Technology Street Address: 77 Massachusetts Avenue City, State, Zip, Country: Cambridge, MA 02139 USA Main Phone Number: 617.253.1000 Main Institution Website: http://web.mit.edu/ Main Institution Email: ___ Admissions"
2024-2025,A,A2,. Source of institutional control  (check one only),A2. Source of institutional control (check one only) ___ Public _ X _ Private (nonprofit) ___ Proprietary
2024-2025,A,A3,. Classify your undergraduate institution:,A3. Classify your undergraduate institution: _ X _ Coeducational college ___ Men’s college ___ Women’s college
2024-2025,A,A4,. Academic year calendar,A4. Academic year calendar ___ Semester _ X _ 4-1-4 ___ Quarter ___ Continuous ___ Trimester ___ Differs by program (describe): ___ Other (describe):
2024-2025,A,A5,. Degrees offered by your institution,A5. Degrees offered by your institution ___ Certificate ___ Postbachelor’s certificate ___ Diploma _ X _ Master’s ___ Associate ___ Post-master’s certificate ___ Transfer _ X _ Doctoral degree–research/scholarship ___ Terminal ___ Doctoral degree–professional practice _ X _ Bachelor’s ___ Doctoral d
2024-2025,A,A6,". Diversity, Equity, and Inclusion","A6. Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://iceo.mit.edu/"
2024-2025,B,B1,. Institutional Enrollment–Men and Women,"B1. Institutional Enrollment–Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024 . FULL-TIME PART-TIME Men Women Another Gender Men Women Another Gender Undergraduates Not Available Not Availabl"
2024-2025,B,B2,. Enrollment by Racial/Ethnic Category.,"B2. Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024 . Include international students only in the category “Nonresident aliens.” Complete the “Total Unde"
2024-2025,B,B3,". Number of degrees awarded by your institution from  July 1, 2023, to June 30, 2024.","B3. Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. Certificate/diploma ___ Associate degrees ___ Bachelor’s degrees 1,099 Postbachelor’s certificates ___ Master’s degrees 2,023 Post-master’s certificates ___ Doctoral degrees – research/scholarship 692 Doctoral deg"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. In the"
