year,category,male,female,unknown
2024-2025,total_undergraduates,4535,,
2024-2025,total_graduate,7351,,
2024-2025,grand_total,11886,,
2023-2024,total_undergraduates,4576,,
2023-2024,total_graduate,7344,,
2023-2024,grand_total,11920,,
2022-2023,total_undergraduates,4657,,
2022-2023,total_graduate,7201,,
2022-2023,grand_total,11858,,
2021-2022,total_undergraduates,4638,,
2021-2022,total_graduate,7296,,
2021-2022,grand_total,11934,,
2020-2021,total_undergraduates,4361,,
2020-2021,total_graduate,6893,,
2020-2021,grand_total,11254,,
2019-2020,total_undergraduates,4530,,
2019-2020,total_graduate,6990,,
2019-2020,grand_total,11520,,
2018-2019,total_undergraduates,4602,,
2018-2019,total_graduate,6972,,
2018-2019,grand_total,11574,,
2017-2018,total_undergraduates,4547,,
2017-2018,total_graduate,6919,,
2017-2018,grand_total,11466,,
2016-2017,total_undergraduates,4524,,
2016-2017,total_graduate,6852,,
2016-2017,grand_total,11376,,
2015-2016,total_undergraduates,4527,,
2015-2016,total_graduate,6804,,
2015-2016,grand_total,11331,,
2014-2015,total_undergraduates,4512,,
2014-2015,total_graduate,6807,,
2014-2015,grand_total,11319,,
2009-2010,total_undergraduates,4232,,
2009-2010,total_graduate,6152,,
2009-2010,grand_total,10384,,
2004-2005,total_undergraduates,4136,,
2004-2005,total_graduate,6184,,
2004-2005,grand_total,10320,,
2003-2004,total_undergraduates,4112,,
2003-2004,total_graduate,6228,,
2003-2004,grand_total,10340,,
