year,metric,value
2024-2025,student_faculty_ratio,3:1
2023-2024,student_faculty_ratio,3:1
2022-2023,student_faculty_ratio,3:1
2021-2022,student_faculty_ratio,3:1
2020-2021,student_faculty_ratio,3:1
2019-2020,student_faculty_ratio,3:1
2018-2019,student_faculty_ratio,3:1
2017-2018,student_faculty_ratio,3:1
2017-2018,total_instructional_faculty,1576
2016-2017,student_faculty_ratio,3:1
2016-2017,total_instructional_faculty,1538
2015-2016,student_faculty_ratio,3:1
2015-2016,total_instructional_faculty,1544
2014-2015,student_faculty_ratio,8:1
2014-2015,total_instructional_faculty,1504
2009-2010,student_faculty_ratio,6.8:1
2009-2010,total_instructional_faculty,1778
2004-2005,student_faculty_ratio,7:1
2004-2005,total_instructional_faculty,1669
2003-2004,student_faculty_ratio,6:1
