year,metric,value
2024-2025,rate_6yr_pct,93.0
2023-2024,rate_6yr_pct,93.0
2022-2023,rate_6yr_pct,91.0
2021-2022,rate_6yr_pct,93.0
2020-2021,rate_6yr_pct,94.0
2019-2020,rate_6yr_pct,92.0
2019-2020,freshman_retention_rate_pct,99.4
2018-2019,rate_6yr_pct,87.0
2018-2019,freshman_retention_rate_pct,98.5
2017-2018,rate_6yr_pct,86.0
2017-2018,freshman_retention_rate_pct,99.0
2016-2017,rate_6yr_pct,92.0
2016-2017,freshman_retention_rate_pct,98.0
2015-2016,rate_6yr_pct,92.0
2015-2016,freshman_retention_rate_pct,98.0
2014-2015,rate_6yr_pct,91.0
2014-2015,freshman_retention_rate_pct,99.0
2009-2010,rate_6yr_pct,91.0
2009-2010,freshman_retention_rate_pct,97.0
2004-2005,rate_6yr_pct,92.0
2004-2005,freshman_retention_rate_pct,98.0
2003-2004,rate_6yr_pct,92.0
2003-2004,freshman_retention_rate_pct,98.0
