year,expense,amount
2024-2025,tuition_first_year,64310
2024-2025,required_fees,420
2024-2025,room_only,13614
2024-2025,board_only,7650
2024-2025,room_and_board,21264
2024-2025,food_and_housing,21264
2024-2025,housing_only,13614
2024-2025,food_only,7650
2024-2025,books_supplies,910
2024-2025,transportation,2436
2024-2025,other_expenses,2436
2023-2024,tuition_first_year,61990
2023-2024,required_fees,406
2023-2024,food_and_housing,20280
2023-2024,housing_only,13060
2023-2024,food_only,7220
2023-2024,books_supplies,910
2023-2024,transportation,20280
2023-2024,other_expenses,2374
2022-2023,tuition_first_year,59750
2022-2023,tuition_out_of_state,59750
2022-2023,tuition_nonresident,59750
2022-2023,required_fees,406
2022-2023,room_only,12380
2022-2023,board_only,7010
2022-2023,room_and_board,19390
2022-2023,books_supplies,880
2022-2023,transportation,2304
2022-2023,other_expenses,2304
2021-2022,tuition_first_year,57590
2021-2022,tuition_out_of_state,57590
2021-2022,tuition_nonresident,57590
2021-2022,required_fees,396
2021-2022,room_only,11980
2021-2022,board_only,6810
2021-2022,room_and_board,18790
2021-2022,books_supplies,850
2021-2022,transportation,550
2021-2022,other_expenses,2224
2020-2021,tuition_first_year,55510
2020-2021,tuition_nonresident,55510
2020-2021,required_fees,368
2020-2021,room_only,11550
2020-2021,board_only,6550
2020-2021,room_and_board,18100
2020-2021,books_supplies,840
2020-2021,other_expenses,2202
2019-2020,tuition_first_year,53450
2019-2020,tuition_nonresident,53450
2019-2020,required_fees,53450
2019-2020,room_only,1200
2019-2020,room_and_board,12000
2019-2020,books_supplies,830
2019-2020,other_expenses,2182
2018-2019,tuition_first_year,53450
2018-2019,tuition_nonresident,53450
2018-2019,required_fees,340
2018-2019,room_only,10430
2018-2019,board_only,5960
2018-2019,room_and_board,16390
2018-2019,books_supplies,820
2018-2019,other_expenses,2160
2017-2018,tuition_first_year,51520
2017-2018,required_fees,312
2017-2018,room_only,9890
2017-2018,board_only,5620
2017-2018,room_and_board,15510
2017-2018,books_supplies,800
2017-2018,transportation,550
2017-2018,other_expenses,2098
2016-2017,tuition_first_year,49580
2016-2017,tuition_nonresident,49580
2016-2017,required_fees,312
2016-2017,room_only,9420
2016-2017,board_only,5300
2016-2017,room_and_board,14720
2016-2017,books_supplies,1000
2016-2017,other_expenses,1818
2015-2016,tuition_first_year,48140
2015-2016,required_fees,312
2015-2016,room_only,9060
2015-2016,board_only,5150
2015-2016,books_supplies,1000
2015-2016,other_expenses,1816
2014-2015,tuition_first_year,46400
2014-2015,required_fees,304
2014-2015,room_only,8710
2014-2015,board_only,5020
2014-2015,room_and_board,13730
2014-2015,books_supplies,1000
2014-2015,other_expenses,1816
2009-2010,tuition_first_year,38940
2009-2010,required_fees,272
2009-2010,room_only,6884
2009-2010,board_only,4350
2009-2010,room_and_board,11234
2009-2010,other_expenses,1714
2004-2005,tuition_in_state,32100
2004-2005,tuition_nonresident,32100
2004-2005,required_fees,200
2004-2005,room_only,5250
2004-2005,board_only,4250
2004-2005,room_and_board,9500
2004-2005,books_supplies,1100
2004-2005,other_expenses,1700
2003-2004,tuition_nonresident,30600
2003-2004,required_fees,200
2003-2004,room_only,4900
2003-2004,board_only,4200
2003-2004,room_and_board,9100
2003-2004,books_supplies,1050
2003-2004,other_expenses,1750
