year,metric,sex,value
2024-2025,applied,male,42678
2024-2025,applied,female,55719
2024-2025,admitted,male,2058
2024-2025,admitted,female,3074
2024-2025,enrolled,male,1089
2024-2025,enrolled,female,1667
2023-2024,applied,male,41706
2023-2024,applied,female,54914
2023-2024,admitted,male,2203
2023-2024,admitted,female,3251
2023-2024,enrolled,male,1101
2023-2024,enrolled,female,1637
2020-2021,applied,male,29534
2020-2021,applied,female,34925
2020-2021,admitted,male,6149
2020-2021,admitted,female,7050
2020-2021,enrolled,male,1474
2020-2021,enrolled,female,1654
