year,category,male,female,unknown
2024-2025,undergrad_FT_total,9686,12932,0
2024-2025,undergrad_PT_total,19,12,0
2024-2025,undergrad_total,9705,12944,46
2024-2025,graduate_FT_total,8285,7155,0
2024-2025,graduate_PT_total,704,847,0
2024-2025,graduate_total,8989,8002,88
2024-2025,total_undergraduates,22695,,
2024-2025,total_graduate,17079,,
2024-2025,grand_total,39774,,
2024-2025,FT_first_time_first_year,1089,1667,3
2023-2024,undergrad_total,9342,17,11954
2023-2024,graduate_total,8576,631,7491
2020-2021,total_undergraduates,19004,,
2020-2021,total_graduate,8598,,
2020-2021,grand_total,27602,,
