year,expense,amount
2024-2025,tuition_first_year,67990
2024-2025,tuition_out_of_state,1299
2024-2025,required_fees,1299
2024-2025,food_and_housing,22048
2024-2025,housing_only,13148
2024-2025,food_only,8900
2024-2025,books_supplies,1000
2024-2025,transportation,900
2024-2025,other_expenses,900
2023-2024,tuition_first_year,202
2023-2024,tuition_in_state,6499
2023-2024,tuition_out_of_state,1172.0
2023-2024,required_fees,1172.0
2023-2024,food_and_housing,21620.0
2023-2024,housing_only,12500.0
2023-2024,food_only,9120.0
2023-2024,books_supplies,1000.0
2023-2024,transportation,900.0
2023-2024,other_expenses,900.0
2020-2021,tuition_first_year,56500
2020-2021,tuition_in_state,5650
2020-2021,tuition_out_of_state,1092
2020-2021,required_fees,1092
2020-2021,room_only,9900
2020-2021,board_only,7910
2020-2021,room_and_board,17810
2020-2021,books_supplies,1000
2020-2021,transportation,900
2020-2021,other_expenses,900
