year,metric,sex,value
2024-2025,applied,male,23774
2024-2025,applied,female,25686
2024-2025,admitted,male,1735
2024-2025,admitted,female,2070
2024-2025,enrolled,male,977
2024-2025,enrolled,female,1127
2023-2024,applied,male,24511
2023-2024,applied,female,27256
2023-2024,admitted,male,1729
2023-2024,admitted,female,2010
2023-2024,enrolled,male,965
2023-2024,enrolled,female,1144
2018-2019,applied,male,19550
2018-2019,applied,female,20875
2018-2019,admitted,male,1657
2018-2019,admitted,female,1765
2018-2019,enrolled,male,896
2018-2019,enrolled,female,1035
