year,section,field,label,raw_preview
2024-2025,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024.  Note: Report students formerly designated as “first professional” in the graduate cells.  For information o"
2024-2025,B,B2,. Enrollment by Racial/Ethnic Category.,"B2. Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024.  Include international students only in the category ""Nonresidents.""  Complete the “Total Undergr"
2024-2025,B,B3,. Persistence,"B3. Persistence Number of degrees awarded by your institution from July 1, 2023, to June 30, 2024. AWARD TYPE # AWARDED Certificate/diploma: 126 Associate degrees: 0 Bachelor’s degrees: 2,160 Post-bachelor’s certificates: 140 Master’s degrees: 4,887 Post-master’s certificates: 59 Doctoral degrees – "
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS).  For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey. http"
2024-2025,B,B12,C or t                C or t,"B12 C or t C or t degree/certificate-seeking students: Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability"
2024-2025,B,B13,C or t                C or t,"B13 C or t C or t • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions Final cohort, after adjusting for allowable"
2024-2025,B,B14,0.0                   0.0,B14 0.0 0.0 exclusions: Completers of programs of less than two
2024-2025,B,B15,C or t                C or t,B15 C or t C or t years duration (total): Completers of programs of less than two
2024-2025,B,B16,C or t                C or t,B16 C or t C or t years within 150 percent of normal time: Completers of programs of at least two but
2024-2025,B,B17,C or t                C or t,B17 C or t C or t less than four years (total): Completers of programs of at least two but
2024-2025,B,B18,less than four-years within 150 percent of              C or t                C or t,B18 less than four-years within 150 percent of C or t C or t normal time: Total transfers-out (within three years) to
2024-2025,B,B19,C or t                C or t,B19 C or t C or t other institutions:
2024-2025,B,B20,Total transfers to two-year institutions:               C or t                C or t,B20 Total transfers to two-year institutions: C or t C or t
2024-2025,B,B21,Total transfers to four-year institutions:              C or t                C or t,B21 Total transfers to four-year institutions: C or t C or t
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or the preceding summer term).  The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1.First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024.  Include early decision, early action, and students who began studies during summer in this cohor"
2024-2025,C,C2,". First-time, first-year wait-listed students","C2. First-time, first-year wait-listed students  Students who met admission requirements but whose final admission was contingent on space availability) Do you have a policy of placing students on a waiting list? ☒ Yes ☐ No If yes, please answer the questions below for Fall 2024 admissions: WAITING"
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: ☒ High school diploma is required and GED is accepted ☐ High school diploma is required and GED is not accepted ☐ H
2024-2025,C,C4,.Does your institution require or recommend a general college-preparatory program for degree-seeking,C4.Does your institution require or recommend a general college-preparatory program for degree-seeking students? ☒ Require: ☐ Recommend ☐ Neither require nor recommend
2024-2025,C,C5,.Distribution of high school units required and/or recommended. Specify the distribution of academic high,C5.Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: ☐ Open admission polic"
2024-2025,C,C7,".Relative importance of each of the following academic and nonacademic factors in your first-time, first-","C7.Relative importance of each of the following academic and nonacademic factors in your first-time, first- year, degree-seeking general (not including programs with specific criteria) admission decisions. Not Factors Very Important Important Considered Considered Academic Rigor of secondary school "
2024-2025,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree- seeking applicants: ☒ Yes ☐ No If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission f"
2024-2025,C,C8B,. Has been removed from the CDS.,C8B. Has been removed from the CDS.
2024-2025,C,C8C,. Has been removed from the CDS.,"C8C. Has been removed from the CDS. D. In addition, does your institution use applicants' test scores for academic advising? ☒ Yes ☐ No E. Latest date by which SAT or ACT scores must be received for fall-term admission: ⇒ Click or tap here to enter text. F. If necessary, use this space to clarify yo"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2024-2025,C,C10,".     Percent of all degree-seeking, first-time, first-year students who had high school class rank within","C10. Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class "
2024-2025,C,C11,".    Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school","C11. Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale).  Report information only for those students from whom you collected high school GPA.  If you are able to report GPA range"
2024-2025,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA:","C12. Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: Average high school GPA: Click or tap here to enter text. Percent of total first-time, first-year students who submitted high school GPA: Percent submitting high school GPA: Click or tap here to en"
2024-2025,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13. Application fee  If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Does your institution have an application fee? ☒ Yes ☐ No Amount of application fee: $75.00 Can it be waived for applicants with financial need? ☒
2024-2025,C,C14,. Application closing date,C14. Application closing date Does your institution have an application closing date? ☒ Yes ☐ No Application Closing Date Date Application closing date (fall) 1/1 Priority Date C or t
2024-2025,C,C15,". Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No","C15. Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No"
2024-2025,C,C16,.    Notification to applicants of admission decision sent (fill in one only),C16. Notification to applicants of admission decision sent (fill in one only) ☐ On a rolling basis beginning (date): No ☐ By (date): Click or tap here to enter text. ☐ Other: Click or tap here to enter text.
2024-2025,C,C17,.     Reply policy for admitted applicants (fill in one only),C17. Reply policy for admitted applicants (fill in one only) ☒ Must reply by (date): May 1st ☐ No set date ☐ Must reply by May 1st or within Click or tap here to enter text. weeks if notified thereafter ☐ Other: Click or tap here to enter text. Deadline for housing deposit (MMDD): May 1st Amount of 
2024-2025,C,C18,.   Deferred admission: Does your institution allow students to postpone enrollment after admission?,"C18. Deferred admission: Does your institution allow students to postpone enrollment after admission? ☒ Yes ☐ No If yes, maximum period of postponement: 1 year; up to 2 years postponement if due to military service"
2024-2025,C,C19,. Early admission of high school students: Does your institution allow high school students to enroll as,"C19. Early admission of high school students: Does your institution allow high school students to enroll as full-time, first-time, first-year students one year or more before high school graduation? ☐ Yes ☒ No"
2024-2025,C,C20,. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2024-2025,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21. Early decision: Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit to atten
2024-2025,C,C22,. Early action: Do you have a nonbinding early action plan whereby students are notified of an admission,"C22. Early action: Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to attending your college? ☐ Yes ☒ No If “yes,” please complete the following: Early action closing date: Cl"
2024-2025,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants D1. Does your institution enroll transfer students? ☒ Yes ☐ No (If no, please skip to Section E) If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other colleges/universities? ☒ Yes ☐ No"
2024-2025,D,D2,". Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2. Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024.  If your institution collects and reports non-binary gender data, please use the “Another Gender” category. Admitted Enrolled Applicants Applicants Applicants Men 2,244 251 "
2024-2025,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3. Indicate terms for which transfers may enroll: ☒ Fall ☐ Winter ☐ Spring ☐ Summer
2024-2025,D,D4,. Must a transfer applicant have a minimum number of credits completed or else must apply as an entering,"D4. Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year student? ☒ Yes ☐ No If yes, what is the minimum number of credits and the unit of measure? ⇒ 24.0 credits"
2024-2025,D,D5,. Indicate all items required of transfer students to apply for admission:,D5. Indicate all items required of transfer students to apply for admission: Required Recommended Recommended Required Not of All of All of Some of Some required High school transcript ☒ ☐ ☐ ☐ ☐ College transcript(s) ☒ ☐ ☐ ☐ ☐ Essay or personal ☒ ☐ ☐ ☐ ☐ statement Interview ☐ ☐ ☐ ☐ ☒ Standardized te
2024-2025,D,D6,".If a minimum high school grade point average is required of transfer applicants, specify","D6.If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale): ⇒ Click or tap here to enter text."
2024-2025,D,D7,".If a minimum college grade point average is required of transfer applicants, specify","D7.If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale): ⇒ Click or tap here to enter text."
2024-2025,D,D8,.List any other application requirements specific to transfer applicants:,D8.List any other application requirements specific to transfer applicants: ⇒ Click or tap here to enter text.
2024-2025,D,D9,". List application priority, closing, notification, and candidate reply dates for transfer students. If applications","D9. List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a checkmark in the “Rolling admission” column. Priority Notification Rolling Closing Date Reply Date Date Date Admission Fall C "
2024-2025,D,D10,".     Does an open admission policy, if reported, apply to transfer students? ☐ Yes        ☒ No","D10. Does an open admission policy, if reported, apply to transfer students? ☐ Yes ☒ No"
2024-2025,D,D11,".    Describe additional requirements for transfer admission, if applicable:","D11. Describe additional requirements for transfer admission, if applicable: ⇒ Click or tap here to enter text."
2024-2025,D,D12,-D17: Transfer Credit Policies,D12-D17: Transfer Credit Policies D12. Report the lowest grade earned for any course that may be transferred for credit: ⇒ 2
2024-2025,D,D13,.     Maximum number of credits or courses that may be transferred from a two-year institution:,D13. Maximum number of credits or courses that may be transferred from a two-year institution: Number: 48.0 Unit type: Credits
2024-2025,D,D14,.     Maximum number of credits or courses that may be transferred from a four-year institution:,D14. Maximum number of credits or courses that may be transferred from a four-year institution: Number: 48.0 Unit type: Credits
2024-2025,D,D15,.   Minimum number of credits that transfers must complete at your institution to earn an associate,D15. Minimum number of credits that transfers must complete at your institution to earn an associate degree: ⇒ Click or tap here to enter text.
2024-2025,D,D16,.    Minimum number of credits that transfers must complete at your institution to earn a bachelor’s,D16. Minimum number of credits that transfers must complete at your institution to earn a bachelor’s degree: ⇒ 23
2024-2025,D,D17,.     Describe other transfer credit policies:,D17. Describe other transfer credit policies: ⇒ Click or tap here to enter text.
2024-2025,D,D18,-D22: Military Service Transfer Credit Policies,D18-D22: Military Service Transfer Credit Policies D18. Does your institution accept the following military/veteran transfer credits: American Council on Education (ACE) ☐ Yes ☐ No College Level Examination Program (CLEP) ☐ Yes ☐ No DANTES Subject Standardized Tests (DSST) ☐ Yes ☐ No
2024-2025,D,D19,. Maximum number of credits or courses that may be transferred based on military education evaluated by,D19. Maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE): Number: Click or tap here to enter text. Unit type: Click or tap here to enter text.
2024-2025,D,D20,. Maximum number of credits or courses that may be transferred based on Department of Defense,D20. Maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Number: Click or tap here to enter text. Unit type Click or tap here to enter 
2024-2025,D,D21,. Are the military/veteran credit transfer policies published on your website? ☐ Yes           ☐ No,"D21. Are the military/veteran credit transfer policies published on your website? ☐ Yes ☐ No If yes, please provide the URL where the policy can be located: ⇒ Click or tap here to enter text."
2024-2025,D,D22,. Describe other military/veteran transfer credit policies unique to your institution:,D22. Describe other military/veteran transfer credit policies unique to your institution: ⇒ Click or tap here to enter text.
2024-2025,E,E1,. Special study options: Identify those programs available at your institution. Refer to the glossary for,E1. Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. ☒ Accelerated program ☐ Honors program ☒ Comprehensive transition and ☒ Independent study postsecondary program for students ☒ Internships with intellectual disabilities ☐ Cross-r
2024-2025,E,E2,. Has been removed from the CDS.,E2. Has been removed from the CDS.
2024-2025,E,E3,. Areas in which all or most students are required to complete some course work prior to graduation:,E3. Areas in which all or most students are required to complete some course work prior to graduation: ☒ Arts/fine arts ☒ Humanities ☐ Computer literacy ☐ Intensive writing ☒ English (including composition) ☒ Mathematics ☒ Foreign languages ☐ Philosophy ☐ History ☒ Sciences (biological or physical) 
2024-2025,F,F1,". Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates","F1. Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2024 who fit the following categories: Percentages of first-time, first-year degree-seeking students First-time, first- Undergraduates and degree-seeking undergraduates year students "
2024-2025,F,F2,. Activities offered Identify those programs available at your institution.,F2. Activities offered Identify those programs available at your institution. ☒ Campus Ministries ☒ Literary magazine ☒ Radio station ☒ Choral groups ☒ Marching band ☒ Student government ☒ Concert band ☒ Model UN ☒ Student newspaper ☒ Dance ☒ Music ensembles ☒ Student-run film society ☒ Drama/theate
2024-2025,F,F3,. ROTC (program offered in cooperation with Reserve Officers’ Training Corps),F3. ROTC (program offered in cooperation with Reserve Officers’ Training Corps) Army ROTC is offered: ☐ On campus ☒ At cooperating institution (name): Loyola University Chicago Naval ROTC is offered: ☐ Marine Option: Naval ROTC is offered ☒ On campus: ☐ At cooperating institution (name): Click or ta
