year,category,male,female,unknown
2024-2025,undergrad_FT_total,4084,4800,6
2024-2025,undergrad_PT_total,64,80,0
2024-2025,graduate_FT_total,5033,5749,25
2024-2025,graduate_PT_total,1379,1679,1
2024-2025,total_undergraduates,9060,,
2024-2025,total_graduate,14371,,
2024-2025,grand_total,23431,,
2023-2024,undergrad_FT_total,3978,4731,6
2023-2024,undergrad_PT_total,68,62,1
2023-2024,graduate_FT_total,4881,5740,24
2023-2024,graduate_PT_total,1466,1843,1
2023-2024,total_undergraduates,8846,,
2023-2024,total_graduate,13955,,
2023-2024,grand_total,22801,,
2018-2019,total_undergraduates,8231,,
2018-2019,total_graduate,13360,,
2018-2019,grand_total,21591,,
